row_id,comment,clean_comment,aspect,true_label,predicted_label,possible_reason,prediction_confidence
77,vải lông thấm hút xọc xạch phải chịu khó để ý thay tả liền không hăm tả. giao đúng mẫu khá nhanh,vải lông thấm hút xọc xạch phải chịu khó để ý thay tả liền không hăm tả giao đúng mẫu khá nhanh,van_chuyen,positive,neutral,Comment mơ hồ giữa positive và neutral,0.5269
79,sản phẩm rẻ đẹp dùng tiện. kê điện thoại chắc chắn,sản phẩm rẻ đẹp dùng tiện kê điện thoại chắc chắn,gia_ca,positive,neutral,Comment mơ hồ giữa positive và neutral,0.5105
81,quá tệ chất lượng không xứng tiền hình in bong tróc te tua giao 1 cái mới 1 cái cũ đã qua sử dụng,quá tệ chất lượng không xứng tiền hình in bong tróc te tua giao 1 cái mới 1 cái cũ đã qua sử dụng,gia_ca,negative,neutral,Negative class quá ít nên model học chưa tốt,0.6269
86,"In hình rõ, một số vải hơi khô nhưng giá ok",in hình rõ một số vải hơi khô nhưng giá ok,chat_luong,positive,negative,Comment có nhiều aspect trong một câu,0.4469
97,không đẹp tạm chấp nhận,không đẹp tạm chấp nhận,chat_luong,positive,negative,Khác,0.5015
100,bé chịu uống vị ngọt vừa không quá gắt,bé chịu uống vị ngọt vừa không quá gắt,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.6613
101,hỗ trợ đổi hàng nhiệt tình nhưng thảm đổi vẫn in lỗi. hàng rẻ kiểm hàng kém tâm,hỗ trợ đổi hàng nhiệt tình nhưng thảm đổi vẫn in lỗi hàng rẻ kiểm hàng kém tâm,gia_ca,positive,neutral,Comment mơ hồ giữa positive và neutral,0.724
109,Màu nhanh khô,màu nhanh khô,chat_luong,positive,negative,Comment quá ngắn,0.7093
110,giao hàng cũ bị trầy xước nhiều,giao hàng cũ bị trầy xước nhiều,van_chuyen,neutral,negative,Khác,0.4667
112,trơn nếu có mồ hôi nhận bị lỗi,trơn nếu có mồ hôi nhận bị lỗi,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.7151
113,thảm rộng hơi trượt 1 xíu. bị lủng 1 chỗ,thảm rộng hơi trượt 1 xíu bị lủng 1 chỗ,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.6763
118,giao nhanh đóng gói tốt màu đẹp. túi nhỏ nhét cực. thảm gãy gập nhiều lỗ li ti. không mua lại,giao nhanh đóng gói tốt màu đẹp túi nhỏ nhét cực thảm gãy gập nhiều lỗ li ti không mua lại,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.5526
120,vải dù mỏng dễ rách dễ hư,vải dù mỏng dễ rách dễ hư,dong_goi,negative,neutral,Negative class quá ít nên model học chưa tốt,0.5766
122,"đóng gói kỹ, giao tương đối nhanh",đóng gói kỹ giao tương đối nhanh,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.5154
127,shop đóng hàng nhanh kỹ sữa thơm ngon ít ngọt,shop đóng hàng nhanh kỹ sữa thơm ngon ít ngọt,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.4237
127,shop đóng hàng nhanh kỹ sữa thơm ngon ít ngọt,shop đóng hàng nhanh kỹ sữa thơm ngon ít ngọt,van_chuyen,neutral,positive,Comment mơ hồ giữa positive và neutral,0.6203
136,cứng cáp chắc chắn. giao hàng siêu nhanh,cứng cáp chắc chắn giao hàng siêu nhanh,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.4046
141,chất liệu tốt mùi thơm không giống loại nhựa rẻ. sản phẩm tiện cho các bé âm thanh tốt,chất liệu tốt mùi thơm không giống loại nhựa rẻ sản phẩm tiện cho các bé âm thanh tốt,gia_ca,positive,neutral,Comment mơ hồ giữa positive và neutral,0.6815
145,chất lượng tốt dùng thích giấy trắng đều đẹp mịn,chất lượng tốt dùng thích giấy trắng đều đẹp mịn,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.8158
151,gói hàng tốt đóng túi zip từng cái giao nhanh,gói hàng tốt đóng túi zip từng cái giao nhanh,chat_luong,neutral,positive,Comment mơ hồ giữa positive và neutral,0.7148
153,"Áo mặc mát, form cũng đc",áo mặc mát form cũng được,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.4578
156,chất lượng quá tệ không đúng mô tả ốp không có keo toàn bị rơi shop khác tốt hơn vạn lần,chất lượng quá tệ không đúng mô tả ốp không có keo toàn bị rơi shop khác tốt hơn vạn lần,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.4994
162,vali tốt nhưng ổ khóa không cho khóa khá kì,vali tốt nhưng ổ khóa không cho khóa khá kì,chat_luong,positive,negative,Khác,0.7111
170,chất lượng sản phẩm tốt đúng mô tả,chất lượng sản phẩm tốt đúng mô tả,dong_goi,neutral,positive,Aspect không được nhắc đến rõ ràng,0.4786
171,giao hàng nhanh shipper thân thiện. không phù hợp giá tiền. chưa gắn điện thoại vô đã gãy cây đứng yếu không đáng mua,giao hàng nhanh người giao hàng thân thiện không phù hợp giá tiền chưa gắn điện thoại vô đã gãy cây đứng yếu không đáng mua,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.4415
171,giao hàng nhanh shipper thân thiện. không phù hợp giá tiền. chưa gắn điện thoại vô đã gãy cây đứng yếu không đáng mua,giao hàng nhanh người giao hàng thân thiện không phù hợp giá tiền chưa gắn điện thoại vô đã gãy cây đứng yếu không đáng mua,gia_ca,negative,positive,Negative class quá ít nên model học chưa tốt,0.6528
172,giao cường lực bị bể vỡ từ trước chứ không phải bên giao hàng làm ăn không có tâm,giao cường lực bị bể vỡ từ trước chứ không phải bên giao hàng làm ăn không có tâm,van_chuyen,neutral,negative,Comment có nhiều aspect trong một câu,0.6803
175,hàng xịn xò cứng cáp chắc chắn remote chụp hình quay phim siêu nhạy. lần đầu mua thấy ưng ý hôm trước đặt hôm sau giao liền 5 sao,hàng xịn xò cứng cáp chắc chắn remote chụp hình quay phim siêu nhạy lần đầu mua thấy ưng ý hôm trước đặt hôm sau giao liền 5 sao,chat_luong,positive,neutral,Aspect không được nhắc đến rõ ràng,0.3879
175,hàng xịn xò cứng cáp chắc chắn remote chụp hình quay phim siêu nhạy. lần đầu mua thấy ưng ý hôm trước đặt hôm sau giao liền 5 sao,hàng xịn xò cứng cáp chắc chắn remote chụp hình quay phim siêu nhạy lần đầu mua thấy ưng ý hôm trước đặt hôm sau giao liền 5 sao,van_chuyen,positive,neutral,Comment mơ hồ giữa positive và neutral,0.6237
180,màu đen. đúng mô tả. chất liệu vải túi hơi to,màu đen đúng mô tả chất liệu vải túi hơi to,chat_luong,positive,negative,Khác,0.4215
180,màu đen. đúng mô tả. chất liệu vải túi hơi to,màu đen đúng mô tả chất liệu vải túi hơi to,dong_goi,positive,negative,Aspect không được nhắc đến rõ ràng,0.5556
184,Nắp chai bật ra và chảy dầu,nắp chai bật ra và chảy dầu,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5262
186,giao hàng cũ,giao hàng cũ,chat_luong,negative,positive,Comment quá ngắn,0.3821
186,giao hàng cũ,giao hàng cũ,dong_goi,negative,neutral,Comment quá ngắn,0.4587
186,giao hàng cũ,giao hàng cũ,van_chuyen,neutral,negative,Comment quá ngắn,0.5891
192,shop không che thông tin,shop không che thông tin,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.5381
193,chất liệu mềm. không chống xước,chất liệu mềm không chống xước,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5218
198,đặt một kiểu giao một kiểu chất lượng vẫn thế,đặt một kiểu giao một kiểu chất lượng vẫn thế,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.562
202,không nên mua về phải nộp thêm 220k mới dùng được lừa đảo nói miễn phí 1 năm,không nên mua về phải nộp thêm 220k mới dùng được lừa đảo nói miễn phí 1 năm,gia_ca,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4608
203,Sản phẩm: Sản phẩm không như mô tả Sản phẩm ko giống hình,sản phẩm sản phẩm không như mô tả sản phẩm không giống hình,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4774
204,Màu tối hơn ảnh,màu tối hơn ảnh,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4672
210,mua 1k mở ra cường lực nứt hết,mua 1k mở ra cường lực nứt hết,gia_ca,positive,neutral,Aspect không được nhắc đến rõ ràng,0.5129
211,giao thiếu hàng đặt 2 ốp 3 cường lực giao 1 bộ,giao thiếu hàng đặt 2 ốp 3 cường lực giao 1 bộ,dong_goi,neutral,negative,Comment có nhiều aspect trong một câu,0.7098
211,giao thiếu hàng đặt 2 ốp 3 cường lực giao 1 bộ,giao thiếu hàng đặt 2 ốp 3 cường lực giao 1 bộ,van_chuyen,neutral,negative,Comment có nhiều aspect trong một câu,0.4869
217,form đẹp mua nhiều lần rất ok. hơi bẩn ở khung,form đẹp mua nhiều lần rất ok hơi bẩn ở khung,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.6796
226,lưới căng dở oẹt chất lượng kém so với giá đóng gói ẩu. giao hàng nhanh ok,lưới căng dở oẹt chất lượng kém so với giá đóng gói ẩu giao hàng nhanh ok,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.4571
226,lưới căng dở oẹt chất lượng kém so với giá đóng gói ẩu. giao hàng nhanh ok,lưới căng dở oẹt chất lượng kém so với giá đóng gói ẩu giao hàng nhanh ok,gia_ca,negative,positive,Negative class quá ít nên model học chưa tốt,0.6201
227,chất lượng kém không đúng mô tả,chất lượng kém không đúng mô tả,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.4802
228,tạm ổn nhưng may ẩu,tạm ổn nhưng may ẩu,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.7057
229,mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá,mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá,chat_luong,neutral,negative,Comment có nhiều aspect trong một câu,0.6889
229,mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá,mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá,gia_ca,neutral,negative,Comment có nhiều aspect trong một câu,0.4064
232,Sản phẩm: Sản phẩm chất lượng kém,sản phẩm sản phẩm chất lượng kém,chat_luong,negative,positive,Negative class quá ít nên model học chưa tốt,0.5178
238,ship giao hàng thân thiện chuyên nghiệp. đóng gói cẩn thận. chất lượng chờ xem,giao hàng giao hàng thân thiện chuyên nghiệp đóng gói cẩn thận chất lượng chờ xem,chat_luong,neutral,positive,Comment mơ hồ giữa positive và neutral,0.6659
240,sữa ít đường dễ uống bé hợp tác chưa thấy tăng cân,sữa ít đường dễ uống bé hợp tác chưa thấy tăng cân,chat_luong,negative,positive,Aspect không được nhắc đến rõ ràng,0.8746
242,Có quà đâu mà đính kèm lắm thế nhỉ :)),có quà đâu mà đính kèm lắm thế nhỉ,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.5823
253,nghe gọi định vị đúng mô tả đóng gói cẩn thận. chưa dùng chưa rõ pin hoạt động hi vọng sử dụng tốt,nghe gọi định vị đúng mô tả đóng gói cẩn thận chưa dùng chưa rõ pin hoạt động hi vọng sử dụng tốt,chat_luong,neutral,positive,Comment mơ hồ giữa positive và neutral,0.6914
261,vân in mờ tịt thảm màu xấu trơn nhìn như hàng fake,vân in mờ tịt thảm màu xấu trơn nhìn như hàng fake,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5348
264,kính bị vỡ hàng săn 1k buồn,kính bị vỡ hàng săn 1k buồn,dong_goi,neutral,positive,Comment mơ hồ giữa positive và neutral,0.347
265,hàng xài tạm giao hàng cũ khóa bên ăn bên không,hàng xài tạm giao hàng cũ khóa bên ăn bên không,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.5372
265,hàng xài tạm giao hàng cũ khóa bên ăn bên không,hàng xài tạm giao hàng cũ khóa bên ăn bên không,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.604
265,hàng xài tạm giao hàng cũ khóa bên ăn bên không,hàng xài tạm giao hàng cũ khóa bên ăn bên không,van_chuyen,neutral,negative,Khác,0.5979
276,cầm nhẹ tay đánh bình thường không như quảng cáo chất lượng cao. giao hàng nhanh,cầm nhẹ tay đánh bình thường không như quảng cáo chất lượng cao giao hàng nhanh,chat_luong,negative,neutral,Negative class quá ít nên model học chưa tốt,0.6119
280,cảm quan chắc chắn đúng mô tả có sẵn cáp nhỏ được shop tặng thêm cáp sạc 3 đầu đầy đủ phụ kiện. đóng gói chắc chắn ship nhanh chóng,cảm quan chắc chắn đúng mô tả có sẵn cáp nhỏ được shop tặng thêm cáp sạc 3 đầu đầy đủ phụ kiện đóng gói chắc chắn giao hàng nhanh chóng,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.4026
283,mua 8 plus gửi ip5 bọc rất kỹ nhưng lại bể gửi hàng hỏng hàng 1k ship 27k đắt,mua 8 plus gửi ip5 bọc rất kỹ nhưng lại bể gửi hàng hỏng hàng 1k giao hàng 27k đắt,van_chuyen,neutral,negative,Comment có lỗi chính tả hoặc teencode,0.4137
283,mua 8 plus gửi ip5 bọc rất kỹ nhưng lại bể gửi hàng hỏng hàng 1k ship 27k đắt,mua 8 plus gửi ip5 bọc rất kỹ nhưng lại bể gửi hàng hỏng hàng 1k giao hàng 27k đắt,gia_ca,negative,neutral,Negative class quá ít nên model học chưa tốt,0.5794
284,dây vợt chùng chất lượng bình thường,dây vợt chùng chất lượng bình thường,chat_luong,negative,neutral,Negative class quá ít nên model học chưa tốt,0.6015
287,soạn nhầm màu xanh than thành da trời nhân viên làm ăn kém không hỏi ý khách,soạn nhầm màu xanh than thành da trời nhân viên làm ăn kém không hỏi ý khách,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.6546
288,giao hàng không kĩ dơ 2 đầu mặc dù có bọc,giao hàng không kĩ dơ 2 đầu mặc dù có bọc,van_chuyen,neutral,negative,Khác,0.4728
289,dễ gỉ sét dù không dày. tay cầm hay bị rớt,dễ gỉ sét dù không dày tay cầm hay bị rớt,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5712
292,vải mềm mịn mới nhận chưa sử dụng,vải mềm mịn mới nhận chưa sử dụng,chat_luong,positive,neutral,Comment mơ hồ giữa positive và neutral,0.4646
297,Không ôm sát ngực... tạm ổn,không ôm sát ngực tạm ổn,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.7086
302,chất lượng đáng 5 sao chọn xanh giao tím,chất lượng đáng 5 sao chọn xanh giao tím,chat_luong,positive,negative,Comment có nhiều aspect trong một câu,0.4694
306,Hình quảng cáo có quà nhưng nhận không có,hình quảng cáo có quà nhưng nhận không có,chat_luong,negative,neutral,Aspect không được nhắc đến rõ ràng,0.7188
307,sản phẩm chán lỏng lẻo dính không bền lúc là bong,sản phẩm chán lỏng lẻo dính không bền lúc là bong,gia_ca,neutral,negative,Aspect không được nhắc đến rõ ràng,0.488
308,sữa hợp tác tốt,sữa hợp tác tốt,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.7749
309,gửi cái kính không không có miếng lau mô tả ghi rõ bao gồm hộp và lau kính hàng 1k,gửi cái kính không không có miếng lau mô tả ghi rõ bao gồm hộp và lau kính hàng 1k,dong_goi,neutral,positive,Aspect không được nhắc đến rõ ràng,0.4637
309,gửi cái kính không không có miếng lau mô tả ghi rõ bao gồm hộp và lau kính hàng 1k,gửi cái kính không không có miếng lau mô tả ghi rõ bao gồm hộp và lau kính hàng 1k,gia_ca,positive,neutral,Aspect không được nhắc đến rõ ràng,0.7629
312,nhựa trung bình có gờ khó chịu. giao sai hàng lỗi không từ tính,nhựa trung bình có gờ khó chịu giao sai hàng lỗi không từ tính,dong_goi,negative,neutral,Negative class quá ít nên model học chưa tốt,0.6004
313,tệ cán vợt bung sứt tùm lum phải quấn băng keo. thất vọng không mua lại,tệ cán vợt bung sứt tùm lum phải quấn băng keo thất vọng không mua lại,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4959
317,bé uống được hộp có tay xách tiện lợi,bé uống được hộp có tay xách tiện lợi,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.6913
325,Giao nhầm hàng,giao nhầm hàng,van_chuyen,neutral,negative,Comment quá ngắn,0.4009
327,tệ sai màu,tệ sai màu,dong_goi,neutral,negative,Comment quá ngắn,0.8648
328,gậy chắc chắn sử dụng ngon. chất liệu bằng thép không gỉ rất chất lượng,gậy chắc chắn sử dụng ngon chất liệu bằng thép không gỉ rất chất lượng,chat_luong,positive,negative,Khác,0.5825
329,sách viết đẹp. giao đủ số lượng đúng hẹn,sách viết đẹp giao đủ số lượng đúng hẹn,van_chuyen,positive,neutral,Comment mơ hồ giữa positive và neutral,0.6334
331,size nhỏ,size nhỏ,dong_goi,neutral,negative,Comment quá ngắn,0.5355
332,chất liệu tính năng ok nhưng giao nhầm từ 2 đôi thành 1 đôi,chất liệu tính năng ok nhưng giao nhầm từ 2 đôi thành 1 đôi,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.5215
339,giao hơi chậm nhưng đóng gói kỹ,giao hơi chậm nhưng đóng gói kỹ,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.503
340,rẻ mà nhìn như thật dây màu hồng xinh xẻo. shop trả lời nhiệt tình xứng đáng 10 điểm,rẻ mà nhìn như thật dây màu hồng xinh xẻo shop trả lời nhiệt tình xứng đáng 10 điểm,chat_luong,positive,negative,Aspect không được nhắc đến rõ ràng,0.5028
340,rẻ mà nhìn như thật dây màu hồng xinh xẻo. shop trả lời nhiệt tình xứng đáng 10 điểm,rẻ mà nhìn như thật dây màu hồng xinh xẻo shop trả lời nhiệt tình xứng đáng 10 điểm,gia_ca,positive,neutral,Comment mơ hồ giữa positive và neutral,0.4285
343,vợt khá ok so với giá tiền nhưng cầu nhựa không ok lắm,vợt khá ok so với giá tiền nhưng cầu nhựa không ok lắm,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5373
349,làm ăn dối trá đóng gói nhìn rất chắc chắn mở ra thì bể không phải do vận chuyển,làm ăn dối trá đóng gói nhìn rất chắc chắn mở ra thì bể không phải do vận chuyển,van_chuyen,neutral,negative,Comment có nhiều aspect trong một câu,0.6039
351,thảm bị lỗi khá nhiều độ bám ít chống tay trượt. đổi hàng phức tạp,thảm bị lỗi khá nhiều độ bám ít chống tay trượt đổi hàng phức tạp,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.4586
352,tưởng không to mà to không tưởng nặng như gạch,tưởng không to mà to không tưởng nặng như gạch,chat_luong,neutral,negative,Aspect không được nhắc đến rõ ràng,0.7995
353,ô chắc chắn nhưng cột trụ lỏng. vành ô không cụp sâu đi mưa vẫn bị ướt,ô chắc chắn nhưng cột trụ lỏng vành ô không cụp sâu đi mưa vẫn bị ướt,dong_goi,negative,neutral,Aspect không được nhắc đến rõ ràng,0.4649
356,"hạn dùng xa, gửi hàng nhanh, sale tốt",hạn dùng xa gửi hàng nhanh sale tốt,gia_ca,neutral,positive,Comment mơ hồ giữa positive và neutral,0.4844
358,vỏ vali mỏng. giao hàng kỹ không trầy móp. giá sale rẻ đóng gói chăm sóc tốt,vỏ vali mỏng giao hàng kỹ không trầy móp giá sale rẻ đóng gói chăm sóc tốt,dong_goi,positive,negative,Comment có nhiều aspect trong một câu,0.5906
358,vỏ vali mỏng. giao hàng kỹ không trầy móp. giá sale rẻ đóng gói chăm sóc tốt,vỏ vali mỏng giao hàng kỹ không trầy móp giá sale rẻ đóng gói chăm sóc tốt,van_chuyen,neutral,positive,Comment mơ hồ giữa positive và neutral,0.4545
359,chất lượng ổn màn hình nhạy cảm ứng tốt tính năng ok dễ sử dụng. giao hàng nhanh có hộp đẹp chắc chắn,chất lượng ổn màn hình nhạy cảm ứng tốt tính năng ok dễ sử dụng giao hàng nhanh có hộp đẹp chắc chắn,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.7611
367,hàng đúng mô tả. săn được rẻ. bút viết ra đều êm. quá rẻ so với chất lượng,hàng đúng mô tả săn được rẻ bút viết ra đều êm quá rẻ so với chất lượng,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.5255
370,đóng gói chán dã man có 1 lớp màng bọc móp mấy lỗ khi vận chuyển,đóng gói chán dã man có 1 lớp màng bọc móp mấy lỗ khi vận chuyển,dong_goi,negative,positive,Negative class quá ít nên model học chưa tốt,0.4771
373,Nắp vòi bị bật lên,nắp vòi bị bật lên,dong_goi,neutral,negative,Aspect không được nhắc đến rõ ràng,0.5222
390,Thiếu đơn hàng,thiếu đơn hàng,van_chuyen,neutral,negative,Comment quá ngắn,0.7132
391,ban đầu mực ra đều. nhựa cứng. ngòi nhỏ nhưng sợ dễ tắc mực. shop giao nhanh đúng hàng. sale rẻ,ban đầu mực ra đều nhựa cứng ngòi nhỏ nhưng sợ dễ tắc mực shop giao nhanh đúng hàng sale rẻ,dong_goi,positive,neutral,Aspect không được nhắc đến rõ ràng,0.4707
