comment,aspect,sentiment
Màu sai hoàn toàn,gia_ca,neutral
Màu sai hoàn toàn,overall,negative
Màu không đúng mẫu,chat_luong,negative
Màu không đúng mẫu,dong_goi,neutral
Màu không đúng mẫu,van_chuyen,neutral
Màu không đúng mẫu,gia_ca,neutral
Màu không đúng mẫu,overall,negative
Đóng gói kỹ nhưng cọ lỗi,chat_luong,negative
Đóng gói kỹ nhưng cọ lỗi,dong_goi,positive
Đóng gói kỹ nhưng cọ lỗi,van_chuyen,positive
Đóng gói kỹ nhưng cọ lỗi,gia_ca,neutral
Đóng gói kỹ nhưng cọ lỗi,overall,neutral
Màu không giống,chat_luong,negative
Màu không giống,dong_goi,neutral
Màu không giống,van_chuyen,neutral
Màu không giống,gia_ca,neutral
Màu không giống,overall,negative
Màu sai nhưng giá rẻ,chat_luong,negative
Màu sai nhưng giá rẻ,dong_goi,neutral
Màu sai nhưng giá rẻ,van_chuyen,neutral
Màu sai nhưng giá rẻ,gia_ca,positive
Màu sai nhưng giá rẻ,overall,neutral
Đóng gói tốt nhưng màu ít,chat_luong,neutral
Đóng gói tốt nhưng màu ít,dong_goi,positive
Đóng gói tốt nhưng màu ít,van_chuyen,neutral
Đóng gói tốt nhưng màu ít,gia_ca,neutral
Đóng gói tốt nhưng màu ít,overall,neutral
Giao sai hình,chat_luong,negative
Giao sai hình,dong_goi,neutral
Giao sai hình,van_chuyen,neutral
Giao sai hình,gia_ca,neutral
Giao sai hình,overall,negative
Màu khác xa,chat_luong,negative
Màu khác xa,dong_goi,neutral
Màu khác xa,van_chuyen,neutral
Màu khác xa,gia_ca,neutral
Màu khác xa,overall,negative
Màu nhạt,chat_luong,negative
Màu nhạt,dong_goi,neutral
Màu nhạt,van_chuyen,positive
Màu nhạt,gia_ca,neutral
Màu nhạt,overall,negative
Đẹp nhưng hơi sai,chat_luong,neutral
Đẹp nhưng hơi sai,dong_goi,neutral
Đẹp nhưng hơi sai,van_chuyen,neutral
Đẹp nhưng hơi sai,gia_ca,neutral
Đẹp nhưng hơi sai,overall,positive
Shop hỗ trợ tốt,chat_luong,neutral
Shop hỗ trợ tốt,dong_goi,neutral
Shop hỗ trợ tốt,van_chuyen,neutral
Shop hỗ trợ tốt,gia_ca,neutral
Shop hỗ trợ tốt,overall,positive
Giá ổn nhưng giao sai,chat_luong,negative
Giá ổn nhưng giao sai,dong_goi,positive
Giá ổn nhưng giao sai,van_chuyen,positive
Giá ổn nhưng giao sai,gia_ca,positive
Giá ổn nhưng giao sai,overall,neutral
Giao nhầm,chat_luong,negative
Giao nhầm,dong_goi,neutral
Giao nhầm,van_chuyen,neutral
Giao nhầm,gia_ca,neutral
Giao nhầm,overall,negative
Cọ lỗi,chat_luong,negative
Cọ lỗi,dong_goi,neutral
Cọ lỗi,van_chuyen,neutral
Cọ lỗi,gia_ca,neutral
Cọ lỗi,overall,negative
Tranh rách + shop không giữ lời,chat_luong,negative
Tranh rách + shop không giữ lời,dong_goi,negative
Tranh rách + shop không giữ lời,van_chuyen,neutral
Tranh rách + shop không giữ lời,gia_ca,neutral
Tranh rách + shop không giữ lời,overall,negative
Lỗi màu,chat_luong,negative
Lỗi màu,dong_goi,neutral
Lỗi màu,van_chuyen,positive
Lỗi màu,gia_ca,positive
Lỗi màu,overall,negative
Màu khô,chat_luong,negative
Màu khô,dong_goi,neutral
Màu khô,van_chuyen,positive
Màu khô,gia_ca,neutral
Màu khô,overall,negative
Chất lượng kém + giao lâu,chat_luong,negative
Chất lượng kém + giao lâu,dong_goi,neutral
Chất lượng kém + giao lâu,van_chuyen,negative
Chất lượng kém + giao lâu,gia_ca,neutral
Chất lượng kém + giao lâu,overall,negative
Màu không giống,chat_luong,negative
Màu không giống,dong_goi,neutral
Màu không giống,van_chuyen,neutral
Màu không giống,gia_ca,neutral
Màu không giống,overall,negative
Màu xấu,chat_luong,negative
Màu xấu,dong_goi,neutral
Màu xấu,van_chuyen,neutral
Màu xấu,gia_ca,neutral
Màu xấu,overall,negative
Chất lượng không đồng đều,chat_luong,negative
Chất lượng không đồng đều,dong_goi,neutral
Chất lượng không đồng đều,van_chuyen,neutral
Chất lượng không đồng đều,gia_ca,neutral
Chất lượng không đồng đều,overall,negative
Rách nhẹ,chat_luong,neutral
Rách nhẹ,dong_goi,neutral
Rách nhẹ,van_chuyen,neutral
Rách nhẹ,gia_ca,neutral
Rách nhẹ,overall,positive
Lỗi sọc,chat_luong,neutral
Lỗi sọc,dong_goi,neutral
Lỗi sọc,van_chuyen,neutral
Lỗi sọc,gia_ca,neutral
Lỗi sọc,overall,negative
Thiếu cọ,chat_luong,negative
Thiếu cọ,dong_goi,neutral
Thiếu cọ,van_chuyen,neutral
Thiếu cọ,gia_ca,neutral
Thiếu cọ,overall,negative
Giá rẻ nhưng tệ,chat_luong,negative
Giá rẻ nhưng tệ,dong_goi,neutral
Giá rẻ nhưng tệ,van_chuyen,neutral
Giá rẻ nhưng tệ,gia_ca,positive
Giá rẻ nhưng tệ,overall,negative
Khó tô,chat_luong,neutral
Khó tô,dong_goi,neutral
Khó tô,van_chuyen,neutral
Khó tô,gia_ca,neutral
Khó tô,overall,neutral
Móc khoá lỗi,chat_luong,negative
Móc khoá lỗi,dong_goi,neutral
Móc khoá lỗi,van_chuyen,neutral
Móc khoá lỗi,gia_ca,neutral
Móc khoá lỗi,overall,negative
Thiếu quà tặng,chat_luong,negative
Thiếu quà tặng,dong_goi,neutral
Thiếu quà tặng,van_chuyen,neutral
Thiếu quà tặng,gia_ca,neutral
Thiếu quà tặng,overall,negative
Màu sai,chat_luong,negative
Màu sai,dong_goi,neutral
Màu sai,van_chuyen,neutral
Màu sai,gia_ca,neutral
Màu sai,overall,negative
Không nhận được hàng,chat_luong,negative
Không nhận được hàng,dong_goi,neutral
Không nhận được hàng,van_chuyen,negative
Không nhận được hàng,gia_ca,neutral
Không nhận được hàng,overall,negative
Rất tệ,chat_luong,negative
Rất tệ,dong_goi,neutral
Rất tệ,van_chuyen,neutral
Rất tệ,gia_ca,neutral
Rất tệ,overall,negative
Bị lỗi,chat_luong,negative
Bị lỗi,dong_goi,neutral
Bị lỗi,van_chuyen,neutral
Bị lỗi,gia_ca,neutral
Bị lỗi,overall,negative
Không rõ số,chat_luong,negative
Không rõ số,dong_goi,neutral
Không rõ số,van_chuyen,neutral
Không rõ số,gia_ca,neutral
Không rõ số,overall,negative
Spam,chat_luong,neutral
Spam,dong_goi,neutral
Spam,van_chuyen,neutral
Spam,gia_ca,neutral
Spam,overall,neutral
Màu khô,chat_luong,negative
Màu khô,dong_goi,neutral
Màu khô,van_chuyen,neutral
Màu khô,gia_ca,neutral
Màu khô,overall,negative
Màu không giống,chat_luong,negative
Màu không giống,dong_goi,neutral
Màu không giống,van_chuyen,neutral
Màu không giống,gia_ca,neutral
Màu không giống,overall,negative
Đẹp nhưng sai màu,chat_luong,negative
Đẹp nhưng sai màu,dong_goi,neutral
Đẹp nhưng sai màu,van_chuyen,positive
Đẹp nhưng sai màu,gia_ca,neutral
Đẹp nhưng sai màu,overall,positive
Tốt nhưng cọ lỗi + mùi,chat_luong,neutral
Tốt nhưng cọ lỗi + mùi,dong_goi,neutral
Tốt nhưng cọ lỗi + mùi,van_chuyen,neutral
Tốt nhưng cọ lỗi + mùi,gia_ca,neutral
Tốt nhưng cọ lỗi + mùi,overall,positive
"Không đúng mô tả, màu khác, mùi khó chịu",chat_luong,negative
"Không đúng mô tả, màu khác, mùi khó chịu",dong_goi,neutral
"Không đúng mô tả, màu khác, mùi khó chịu",van_chuyen,neutral
"Không đúng mô tả, màu khác, mùi khó chịu",gia_ca,positive
"Không đúng mô tả, màu khác, mùi khó chịu",overall,negative
Màu khác nhiều so với ảnh,chat_luong,negative
Màu khác nhiều so với ảnh,dong_goi,neutral
Màu khác nhiều so với ảnh,van_chuyen,neutral
Màu khác nhiều so với ảnh,gia_ca,neutral
Màu khác nhiều so với ảnh,overall,negative
"Hàng xấu, thất vọng",chat_luong,negative
"Hàng xấu, thất vọng",dong_goi,neutral
"Hàng xấu, thất vọng",van_chuyen,positive
"Hàng xấu, thất vọng",gia_ca,neutral
"Hàng xấu, thất vọng",overall,negative
Nội dung không liên quan,chat_luong,neutral
Nội dung không liên quan,dong_goi,neutral
Nội dung không liên quan,van_chuyen,neutral
Nội dung không liên quan,gia_ca,neutral
Nội dung không liên quan,overall,neutral
"3 tranh ok, 1 tranh lỗi",chat_luong,positive
"3 tranh ok, 1 tranh lỗi",dong_goi,neutral
"3 tranh ok, 1 tranh lỗi",van_chuyen,neutral
"3 tranh ok, 1 tranh lỗi",gia_ca,neutral
"3 tranh ok, 1 tranh lỗi",overall,positive
"Đóng gói sơ sài, giao lâu",chat_luong,neutral
"Đóng gói sơ sài, giao lâu",dong_goi,negative
"Đóng gói sơ sài, giao lâu",van_chuyen,negative
"Đóng gói sơ sài, giao lâu",gia_ca,neutral
"Đóng gói sơ sài, giao lâu",overall,negative
"Nhựa, tô xấu",chat_luong,negative
"Nhựa, tô xấu",dong_goi,neutral
"Nhựa, tô xấu",van_chuyen,neutral
"Nhựa, tô xấu",gia_ca,neutral
"Nhựa, tô xấu",overall,negative
"Màu nhạt, không giống",chat_luong,negative
"Màu nhạt, không giống",dong_goi,neutral
"Màu nhạt, không giống",van_chuyen,neutral
"Màu nhạt, không giống",gia_ca,neutral
"Màu nhạt, không giống",overall,negative
Nội dung lỗi,chat_luong,neutral
Nội dung lỗi,dong_goi,neutral
Nội dung lỗi,van_chuyen,neutral
Nội dung lỗi,gia_ca,neutral
Nội dung lỗi,overall,negative
Màu không giống,chat_luong,negative
Màu không giống,dong_goi,neutral
Màu không giống,van_chuyen,neutral
Màu không giống,gia_ca,neutral
Màu không giống,overall,negative
Đẹp nhưng viền khó tô,chat_luong,neutral
Đẹp nhưng viền khó tô,dong_goi,neutral
Đẹp nhưng viền khó tô,van_chuyen,neutral
Đẹp nhưng viền khó tô,gia_ca,neutral
Đẹp nhưng viền khó tô,overall,neutral
"Đóng gói tốt, màu lệch",chat_luong,neutral
"Đóng gói tốt, màu lệch",dong_goi,positive
"Đóng gói tốt, màu lệch",van_chuyen,neutral
"Đóng gói tốt, màu lệch",gia_ca,neutral
"Đóng gói tốt, màu lệch",overall,negative
Tốt,chat_luong,positive
Tốt,dong_goi,neutral
Tốt,van_chuyen,neutral
Tốt,gia_ca,neutral
Tốt,overall,positive
Giao sai màu,chat_luong,negative
Giao sai màu,dong_goi,neutral
Giao sai màu,van_chuyen,neutral
Giao sai màu,gia_ca,neutral
Giao sai màu,overall,negative
Ok,chat_luong,positive
Ok,dong_goi,neutral
Ok,van_chuyen,neutral
Ok,gia_ca,neutral
Ok,overall,positive
Màu không đúng,chat_luong,negative
Màu không đúng,dong_goi,neutral
Màu không đúng,van_chuyen,neutral
Màu không đúng,gia_ca,neutral
Màu không đúng,overall,negative
Ổn,chat_luong,positive
Ổn,dong_goi,neutral
Ổn,van_chuyen,neutral
Ổn,gia_ca,neutral
Ổn,overall,positive
Đẹp nhưng màu khô,chat_luong,negative
Đẹp nhưng màu khô,dong_goi,neutral
Đẹp nhưng màu khô,van_chuyen,neutral
Đẹp nhưng màu khô,gia_ca,neutral
Đẹp nhưng màu khô,overall,negative
Tranh bị cong,chat_luong,negative
Tranh bị cong,dong_goi,neutral
Tranh bị cong,van_chuyen,neutral
Tranh bị cong,gia_ca,neutral
Tranh bị cong,overall,negative
"Đẹp, giao nhanh",chat_luong,positive
"Đẹp, giao nhanh",dong_goi,neutral
"Đẹp, giao nhanh",van_chuyen,positive
"Đẹp, giao nhanh",gia_ca,neutral
"Đẹp, giao nhanh",overall,positive
Đủ đồ,chat_luong,neutral
Đủ đồ,dong_goi,neutral
Đủ đồ,van_chuyen,neutral
Đủ đồ,gia_ca,neutral
Đủ đồ,overall,positive
Bình thường,chat_luong,neutral
Bình thường,dong_goi,neutral
Bình thường,van_chuyen,neutral
Bình thường,gia_ca,neutral
Bình thường,overall,positive
"Đẹp, giá rẻ",chat_luong,positive
"Đẹp, giá rẻ",dong_goi,neutral
"Đẹp, giá rẻ",van_chuyen,neutral
"Đẹp, giá rẻ",gia_ca,positive
"Đẹp, giá rẻ",overall,positive
Tốt nhưng thiếu quà,chat_luong,neutral
Tốt nhưng thiếu quà,dong_goi,neutral
Tốt nhưng thiếu quà,van_chuyen,neutral
Tốt nhưng thiếu quà,gia_ca,neutral
Tốt nhưng thiếu quà,overall,positive
"Tốt, giao nhanh",chat_luong,positive
"Tốt, giao nhanh",dong_goi,neutral
"Tốt, giao nhanh",van_chuyen,positive
"Tốt, giao nhanh",gia_ca,neutral
"Tốt, giao nhanh",overall,positive
"Giao nhanh, đẹp",chat_luong,positive
"Giao nhanh, đẹp",dong_goi,positive
"Giao nhanh, đẹp",van_chuyen,positive
"Giao nhanh, đẹp",gia_ca,neutral
"Giao nhanh, đẹp",overall,positive
Ổn,chat_luong,neutral
Ổn,dong_goi,neutral
Ổn,van_chuyen,neutral
Ổn,gia_ca,neutral
Ổn,overall,positive
Cọ lỏng,chat_luong,negative
Cọ lỏng,dong_goi,neutral
Cọ lỏng,van_chuyen,neutral
Cọ lỏng,gia_ca,positive
Cọ lỏng,overall,neutral
Thiếu cọ nhưng shop xử lý tốt,chat_luong,neutral
Thiếu cọ nhưng shop xử lý tốt,dong_goi,neutral
Thiếu cọ nhưng shop xử lý tốt,van_chuyen,neutral
Thiếu cọ nhưng shop xử lý tốt,gia_ca,neutral
Thiếu cọ nhưng shop xử lý tốt,overall,positive
Bị vỡ do vận chuyển,chat_luong,negative
Bị vỡ do vận chuyển,dong_goi,neutral
Bị vỡ do vận chuyển,van_chuyen,negative
Bị vỡ do vận chuyển,gia_ca,neutral
Bị vỡ do vận chuyển,overall,negative
Khá tốt,chat_luong,positive
Khá tốt,dong_goi,neutral
Khá tốt,van_chuyen,neutral
Khá tốt,gia_ca,neutral
Khá tốt,overall,positive
Màu nhạt,chat_luong,negative
Màu nhạt,dong_goi,neutral
Màu nhạt,van_chuyen,neutral
Màu nhạt,gia_ca,neutral
Màu nhạt,overall,negative
Nội dung không liên quan,chat_luong,neutral
Nội dung không liên quan,dong_goi,neutral
Nội dung không liên quan,van_chuyen,neutral
Nội dung không liên quan,gia_ca,neutral
Nội dung không liên quan,overall,neutral
Màu đẹp,chat_luong,positive
Màu đẹp,dong_goi,neutral
Màu đẹp,van_chuyen,neutral
Màu đẹp,gia_ca,neutral
Màu đẹp,overall,positive
Giao sai 1 cái,chat_luong,negative
Giao sai 1 cái,dong_goi,neutral
Giao sai 1 cái,van_chuyen,neutral
Giao sai 1 cái,gia_ca,positive
Giao sai 1 cái,overall,negative
Giao trễ,chat_luong,neutral
Giao trễ,dong_goi,neutral
Giao trễ,van_chuyen,negative
Giao trễ,gia_ca,neutral
Giao trễ,overall,negative
Cọ lỗi,chat_luong,negative
Cọ lỗi,dong_goi,neutral
Cọ lỗi,van_chuyen,neutral
Cọ lỗi,gia_ca,neutral
Cọ lỗi,overall,negative
"Giao nhanh, đẹp",chat_luong,positive
"Giao nhanh, đẹp",dong_goi,positive
"Giao nhanh, đẹp",van_chuyen,positive
"Giao nhanh, đẹp",gia_ca,neutral
"Giao nhanh, đẹp",overall,positive
Thiếu sơn bóng,chat_luong,negative
Thiếu sơn bóng,dong_goi,neutral
Thiếu sơn bóng,van_chuyen,neutral
Thiếu sơn bóng,gia_ca,neutral
Thiếu sơn bóng,overall,negative
Màu khô,chat_luong,negative
Màu khô,dong_goi,neutral
Màu khô,van_chuyen,neutral
Màu khô,gia_ca,neutral
Màu khô,overall,negative
Đóng gói tốt,chat_luong,positive
Đóng gói tốt,dong_goi,positive
Đóng gói tốt,van_chuyen,neutral
Đóng gói tốt,gia_ca,neutral
Đóng gói tốt,overall,positive
"Giá rẻ, chất lượng thấp",chat_luong,negative
"Giá rẻ, chất lượng thấp",dong_goi,neutral
"Giá rẻ, chất lượng thấp",van_chuyen,neutral
"Giá rẻ, chất lượng thấp",gia_ca,positive
"Giá rẻ, chất lượng thấp",overall,negative
Màu sai,chat_luong,negative
Màu sai,dong_goi,neutral
Màu sai,van_chuyen,neutral
Màu sai,gia_ca,neutral
Màu sai,overall,negative
Tạm ổn,chat_luong,neutral
Tạm ổn,dong_goi,neutral
Tạm ổn,van_chuyen,neutral
Tạm ổn,gia_ca,neutral
Tạm ổn,overall,neutral
"Đẹp, giao nhanh",chat_luong,positive
"Đẹp, giao nhanh",dong_goi,positive
"Đẹp, giao nhanh",van_chuyen,positive
"Đẹp, giao nhanh",gia_ca,neutral
"Đẹp, giao nhanh",overall,positive
Màu rất tệ,chat_luong,negative
Màu rất tệ,dong_goi,neutral
Màu rất tệ,van_chuyen,neutral
Màu rất tệ,gia_ca,neutral
Màu rất tệ,overall,negative
"Đẹp, giá tốt",chat_luong,positive
"Đẹp, giá tốt",dong_goi,neutral
"Đẹp, giá tốt",van_chuyen,positive
"Đẹp, giá tốt",gia_ca,positive
"Đẹp, giá tốt",overall,positive
Đẹp,chat_luong,positive
Đẹp,dong_goi,neutral
Đẹp,van_chuyen,positive
Đẹp,gia_ca,neutral
Đẹp,overall,positive
Màu đặc khó tô,chat_luong,negative
Màu đặc khó tô,dong_goi,neutral
Màu đặc khó tô,van_chuyen,neutral
Màu đặc khó tô,gia_ca,neutral
Màu đặc khó tô,overall,negative
"Ổn, ok",chat_luong,neutral
"Ổn, ok",dong_goi,neutral
"Ổn, ok",van_chuyen,neutral
"Ổn, ok",gia_ca,neutral
"Ổn, ok",overall,neutral
Rẻ nhưng có lỗi rách,chat_luong,neutral
Rẻ nhưng có lỗi rách,dong_goi,neutral
Rẻ nhưng có lỗi rách,van_chuyen,neutral
Rẻ nhưng có lỗi rách,gia_ca,positive
Rẻ nhưng có lỗi rách,overall,negative
"Đẹp, màu tốt",chat_luong,positive
"Đẹp, màu tốt",dong_goi,neutral
"Đẹp, màu tốt",van_chuyen,neutral
"Đẹp, màu tốt",gia_ca,neutral
"Đẹp, màu tốt",overall,positive
"Giá rẻ, shipper thân thiện",chat_luong,positive
"Giá rẻ, shipper thân thiện",dong_goi,neutral
"Giá rẻ, shipper thân thiện",van_chuyen,positive
"Giá rẻ, shipper thân thiện",gia_ca,positive
"Giá rẻ, shipper thân thiện",overall,positive
Đẹp nhưng màu không giống,chat_luong,negative
Đẹp nhưng màu không giống,dong_goi,neutral
Đẹp nhưng màu không giống,van_chuyen,positive
Đẹp nhưng màu không giống,gia_ca,neutral
Đẹp nhưng màu không giống,overall,negative
"Giao nhanh, đóng gói cẩn thận",chat_luong,neutral
"Giao nhanh, đóng gói cẩn thận",dong_goi,positive
"Giao nhanh, đóng gói cẩn thận",van_chuyen,positive
"Giao nhanh, đóng gói cẩn thận",gia_ca,neutral
"Giao nhanh, đóng gói cẩn thận",overall,positive
Shop không phản hồi,chat_luong,negative
Shop không phản hồi,dong_goi,neutral
Shop không phản hồi,van_chuyen,neutral
Shop không phản hồi,gia_ca,neutral
Shop không phản hồi,overall,negative
Đẹp,chat_luong,positive
Đẹp,dong_goi,neutral
Đẹp,van_chuyen,neutral
Đẹp,gia_ca,neutral
Đẹp,overall,positive
1 bộ lỗi,chat_luong,negative
1 bộ lỗi,dong_goi,neutral
1 bộ lỗi,van_chuyen,neutral
1 bộ lỗi,gia_ca,neutral
1 bộ lỗi,overall,neutral
Đóng gói kém gây đổ hàng,chat_luong,negative
Đóng gói kém gây đổ hàng,dong_goi,negative
Đóng gói kém gây đổ hàng,van_chuyen,neutral
Đóng gói kém gây đổ hàng,gia_ca,neutral
Đóng gói kém gây đổ hàng,overall,negative
"Màu không giống, giá rẻ",chat_luong,negative
"Màu không giống, giá rẻ",dong_goi,neutral
"Màu không giống, giá rẻ",van_chuyen,neutral
"Màu không giống, giá rẻ",gia_ca,positive
"Màu không giống, giá rẻ",overall,neutral
Đẹp nhưng đóng gói kém,chat_luong,positive
Đẹp nhưng đóng gói kém,dong_goi,negative
Đẹp nhưng đóng gói kém,van_chuyen,neutral
Đẹp nhưng đóng gói kém,gia_ca,neutral
Đẹp nhưng đóng gói kém,overall,neutral
"Đẹp, giá rẻ, giao nhanh",chat_luong,positive
"Đẹp, giá rẻ, giao nhanh",dong_goi,neutral
"Đẹp, giá rẻ, giao nhanh",van_chuyen,positive
"Đẹp, giá rẻ, giao nhanh",gia_ca,positive
"Đẹp, giá rẻ, giao nhanh",overall,positive
"Đẹp, giao nhanh",chat_luong,positive
"Đẹp, giao nhanh",dong_goi,neutral
"Đẹp, giao nhanh",van_chuyen,positive
"Đẹp, giao nhanh",gia_ca,neutral
"Đẹp, giao nhanh",overall,positive
Màu nhạt,chat_luong,negative
Màu nhạt,dong_goi,neutral
Màu nhạt,van_chuyen,positive
Màu nhạt,gia_ca,neutral
Màu nhạt,overall,neutral
Thiếu phụ kiện,chat_luong,negative
Thiếu phụ kiện,dong_goi,neutral
Thiếu phụ kiện,van_chuyen,positive
Thiếu phụ kiện,gia_ca,neutral
Thiếu phụ kiện,overall,negative
Giao đủ,chat_luong,positive
Giao đủ,dong_goi,neutral
Giao đủ,van_chuyen,neutral
Giao đủ,gia_ca,neutral
Giao đủ,overall,positive
1 đơn sai,chat_luong,negative
1 đơn sai,dong_goi,neutral
1 đơn sai,van_chuyen,neutral
1 đơn sai,gia_ca,neutral
1 đơn sai,overall,neutral
"Đóng gói tốt, giao nhanh",chat_luong,positive
"Đóng gói tốt, giao nhanh",dong_goi,positive
"Đóng gói tốt, giao nhanh",van_chuyen,positive
"Đóng gói tốt, giao nhanh",gia_ca,neutral
"Đóng gói tốt, giao nhanh",overall,positive
Đóng gói kém,chat_luong,neutral
Đóng gói kém,dong_goi,negative
Đóng gói kém,van_chuyen,neutral
Đóng gói kém,gia_ca,neutral
Đóng gói kém,overall,negative
"Đẹp, giao nhanh",chat_luong,positive
"Đẹp, giao nhanh",dong_goi,neutral
"Đẹp, giao nhanh",van_chuyen,positive
"Đẹp, giao nhanh",gia_ca,neutral
"Đẹp, giao nhanh",overall,positive
Màu khô,chat_luong,negative
Màu khô,dong_goi,neutral
Màu khô,van_chuyen,neutral
Màu khô,gia_ca,neutral
Màu khô,overall,negative
"Đóng gói tốt, giao nhanh",chat_luong,positive
"Đóng gói tốt, giao nhanh",dong_goi,positive
"Đóng gói tốt, giao nhanh",van_chuyen,positive
"Đóng gói tốt, giao nhanh",gia_ca,neutral
"Đóng gói tốt, giao nhanh",overall,positive
"Đẹp, đáng mua",chat_luong,positive
"Đẹp, đáng mua",dong_goi,neutral
"Đẹp, đáng mua",van_chuyen,neutral
"Đẹp, đáng mua",gia_ca,neutral
"Đẹp, đáng mua",overall,positive
Đẹp,chat_luong,positive
Đẹp,dong_goi,neutral
Đẹp,van_chuyen,neutral
Đẹp,gia_ca,neutral
Đẹp,overall,positive
Bị rách,chat_luong,negative
Bị rách,dong_goi,neutral
Bị rách,van_chuyen,neutral
Bị rách,gia_ca,neutral
Bị rách,overall,negative
"Màu khô, thiếu đồ",chat_luong,negative
"Màu khô, thiếu đồ",dong_goi,neutral
"Màu khô, thiếu đồ",van_chuyen,positive
"Màu khô, thiếu đồ",gia_ca,neutral
"Màu khô, thiếu đồ",overall,negative
Ok,chat_luong,neutral
Ok,dong_goi,neutral
Ok,van_chuyen,neutral
Ok,gia_ca,neutral
Ok,overall,neutral
"Màu khô, nét mờ",chat_luong,negative
"Màu khô, nét mờ",dong_goi,neutral
"Màu khô, nét mờ",van_chuyen,neutral
"Màu khô, nét mờ",gia_ca,neutral
"Màu khô, nét mờ",overall,neutral
7/10,chat_luong,neutral
7/10,dong_goi,neutral
7/10,van_chuyen,neutral
7/10,gia_ca,neutral
7/10,overall,neutral
Đẹp nhưng giao lâu,chat_luong,positive
Đẹp nhưng giao lâu,dong_goi,neutral
Đẹp nhưng giao lâu,van_chuyen,negative
Đẹp nhưng giao lâu,gia_ca,neutral
Đẹp nhưng giao lâu,overall,neutral
Nội dung không liên quan,chat_luong,neutral
Nội dung không liên quan,dong_goi,neutral
Nội dung không liên quan,van_chuyen,neutral
Nội dung không liên quan,gia_ca,neutral
Nội dung không liên quan,overall,neutral
Đẹp,chat_luong,positive
Đẹp,dong_goi,neutral
Đẹp,van_chuyen,neutral
Đẹp,gia_ca,neutral
Đẹp,overall,positive
Màu khác,chat_luong,negative
Màu khác,dong_goi,neutral
Màu khác,van_chuyen,neutral
Màu khác,gia_ca,neutral
Màu khác,overall,negative
"Đẹp, đầy đủ",chat_luong,positive
"Đẹp, đầy đủ",dong_goi,neutral
"Đẹp, đầy đủ",van_chuyen,neutral
"Đẹp, đầy đủ",gia_ca,neutral
"Đẹp, đầy đủ",overall,positive
"Cọ khó dùng, mùi",chat_luong,negative
"Cọ khó dùng, mùi",dong_goi,neutral
"Cọ khó dùng, mùi",van_chuyen,neutral
"Cọ khó dùng, mùi",gia_ca,positive
"Cọ khó dùng, mùi",overall,neutral
Khung lệch,chat_luong,negative
Khung lệch,dong_goi,neutral
