comment,aspect,sentiment,clean_comment
Nội dung lỗi,overall,negative,"['nội dung', 'lỗi']"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']"
Màu không giống,overall,negative,"['màu', 'không', 'giống']"
Đẹp nhưng viền khó tô,chat_luong,neutral,"['đẹp', 'nhưng', 'viền', 'khó', 'tô']"
Đẹp nhưng viền khó tô,dong_goi,neutral,"['đẹp', 'nhưng', 'viền', 'khó', 'tô']"
Đẹp nhưng viền khó tô,van_chuyen,neutral,"['đẹp', 'nhưng', 'viền', 'khó', 'tô']"
Đẹp nhưng viền khó tô,gia_ca,neutral,"['đẹp', 'nhưng', 'viền', 'khó', 'tô']"
Đẹp nhưng viền khó tô,overall,neutral,"['đẹp', 'nhưng', 'viền', 'khó', 'tô']"
"Đóng gói tốt, màu lệch",chat_luong,neutral,"['đóng gói', 'tốt', 'màu', 'lệch']"
"Đóng gói tốt, màu lệch",dong_goi,positive,"['đóng gói', 'tốt', 'màu', 'lệch']"
"Đóng gói tốt, màu lệch",van_chuyen,neutral,"['đóng gói', 'tốt', 'màu', 'lệch']"
"Đóng gói tốt, màu lệch",gia_ca,neutral,"['đóng gói', 'tốt', 'màu', 'lệch']"
"Đóng gói tốt, màu lệch",overall,negative,"['đóng gói', 'tốt', 'màu', 'lệch']"
Tốt,chat_luong,positive,['tốt']
Tốt,dong_goi,neutral,['tốt']
Tốt,van_chuyen,neutral,['tốt']
Tốt,gia_ca,neutral,['tốt']
Tốt,overall,positive,['tốt']
Giao sai màu,chat_luong,negative,"['giao', 'sai', 'màu']"
Giao sai màu,dong_goi,neutral,"['giao', 'sai', 'màu']"
Giao sai màu,van_chuyen,neutral,"['giao', 'sai', 'màu']"
Giao sai màu,gia_ca,neutral,"['giao', 'sai', 'màu']"
Giao sai màu,overall,negative,"['giao', 'sai', 'màu']"
Ok,chat_luong,positive,['ok']
Ok,dong_goi,neutral,['ok']
Ok,van_chuyen,neutral,['ok']
Ok,gia_ca,neutral,['ok']
Ok,overall,positive,['ok']
Màu không đúng,chat_luong,negative,"['màu', 'không', 'đúng']"
Màu không đúng,dong_goi,neutral,"['màu', 'không', 'đúng']"
Màu không đúng,van_chuyen,neutral,"['màu', 'không', 'đúng']"
Màu không đúng,gia_ca,neutral,"['màu', 'không', 'đúng']"
Màu không đúng,overall,negative,"['màu', 'không', 'đúng']"
Ổn,chat_luong,positive,['ổn']
Ổn,dong_goi,neutral,['ổn']
Ổn,van_chuyen,neutral,['ổn']
Ổn,gia_ca,neutral,['ổn']
Ổn,overall,positive,['ổn']
