comment,aspect,sentiment,clean_comment,text_input
Bài viết JISOO...,chat_luong,neutral,"['bài', 'viết', 'jisoo']","['bài', 'viết', 'jisoo'] aspect_chat_luong"
Bài viết JISOO...,dong_goi,neutral,"['bài', 'viết', 'jisoo']","['bài', 'viết', 'jisoo'] aspect_dong_goi"
Bài viết JISOO...,van_chuyen,neutral,"['bài', 'viết', 'jisoo']","['bài', 'viết', 'jisoo'] aspect_van_chuyen"
Bài viết JISOO...,gia_ca,neutral,"['bài', 'viết', 'jisoo']","['bài', 'viết', 'jisoo'] aspect_gia_ca"
Bài viết JISOO...,overall,neutral,"['bài', 'viết', 'jisoo']","['bài', 'viết', 'jisoo'] aspect_overall"
"Đẹp, màu xinh, khó tô",chat_luong,positive,"['đẹp', 'màu', 'xinh khó', 'tô']","['đẹp', 'màu', 'xinh khó', 'tô'] aspect_chat_luong"
"Đẹp, màu xinh, khó tô",dong_goi,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']","['đẹp', 'màu', 'xinh khó', 'tô'] aspect_dong_goi"
"Đẹp, màu xinh, khó tô",van_chuyen,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']","['đẹp', 'màu', 'xinh khó', 'tô'] aspect_van_chuyen"
"Đẹp, màu xinh, khó tô",gia_ca,neutral,"['đẹp', 'màu', 'xinh khó', 'tô']","['đẹp', 'màu', 'xinh khó', 'tô'] aspect_gia_ca"
"Đẹp, màu xinh, khó tô",overall,positive,"['đẹp', 'màu', 'xinh khó', 'tô']","['đẹp', 'màu', 'xinh khó', 'tô'] aspect_overall"
Sản phẩm móp méo,chat_luong,negative,"['sản phẩm', 'móp', 'méo']","['sản phẩm', 'móp', 'méo'] aspect_chat_luong"
Sản phẩm móp méo,dong_goi,neutral,"['sản phẩm', 'móp', 'méo']","['sản phẩm', 'móp', 'méo'] aspect_dong_goi"
Sản phẩm móp méo,van_chuyen,neutral,"['sản phẩm', 'móp', 'méo']","['sản phẩm', 'móp', 'méo'] aspect_van_chuyen"
Sản phẩm móp méo,gia_ca,neutral,"['sản phẩm', 'móp', 'méo']","['sản phẩm', 'móp', 'méo'] aspect_gia_ca"
Sản phẩm móp méo,overall,negative,"['sản phẩm', 'móp', 'méo']","['sản phẩm', 'móp', 'méo'] aspect_overall"
Sản phẩm ok nhưng màu tối,chat_luong,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']","['sản phẩm', 'ok', 'nhưng', 'màu', 'tối'] aspect_chat_luong"
Sản phẩm ok nhưng màu tối,dong_goi,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']","['sản phẩm', 'ok', 'nhưng', 'màu', 'tối'] aspect_dong_goi"
Sản phẩm ok nhưng màu tối,van_chuyen,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']","['sản phẩm', 'ok', 'nhưng', 'màu', 'tối'] aspect_van_chuyen"
Sản phẩm ok nhưng màu tối,gia_ca,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']","['sản phẩm', 'ok', 'nhưng', 'màu', 'tối'] aspect_gia_ca"
Sản phẩm ok nhưng màu tối,overall,neutral,"['sản phẩm', 'ok', 'nhưng', 'màu', 'tối']","['sản phẩm', 'ok', 'nhưng', 'màu', 'tối'] aspect_overall"
Rẻ đẹp xứng giá,chat_luong,positive,"['rẻ', 'đẹp', 'xứng', 'giá']","['rẻ', 'đẹp', 'xứng', 'giá'] aspect_chat_luong"
Rẻ đẹp xứng giá,dong_goi,neutral,"['rẻ', 'đẹp', 'xứng', 'giá']","['rẻ', 'đẹp', 'xứng', 'giá'] aspect_dong_goi"
Rẻ đẹp xứng giá,van_chuyen,neutral,"['rẻ', 'đẹp', 'xứng', 'giá']","['rẻ', 'đẹp', 'xứng', 'giá'] aspect_van_chuyen"
Rẻ đẹp xứng giá,gia_ca,positive,"['rẻ', 'đẹp', 'xứng', 'giá']","['rẻ', 'đẹp', 'xứng', 'giá'] aspect_gia_ca"
Rẻ đẹp xứng giá,overall,positive,"['rẻ', 'đẹp', 'xứng', 'giá']","['rẻ', 'đẹp', 'xứng', 'giá'] aspect_overall"
Hộp móp nhưng sp ok,chat_luong,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']","['hộp', 'móp', 'nhưng', 'sp', 'ok'] aspect_chat_luong"
Hộp móp nhưng sp ok,dong_goi,negative,"['hộp', 'móp', 'nhưng', 'sp', 'ok']","['hộp', 'móp', 'nhưng', 'sp', 'ok'] aspect_dong_goi"
Hộp móp nhưng sp ok,van_chuyen,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']","['hộp', 'móp', 'nhưng', 'sp', 'ok'] aspect_van_chuyen"
Hộp móp nhưng sp ok,gia_ca,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']","['hộp', 'móp', 'nhưng', 'sp', 'ok'] aspect_gia_ca"
Hộp móp nhưng sp ok,overall,positive,"['hộp', 'móp', 'nhưng', 'sp', 'ok']","['hộp', 'móp', 'nhưng', 'sp', 'ok'] aspect_overall"
Bị rách nhẹ,chat_luong,negative,"['bị', 'rách', 'nhẹ']","['bị', 'rách', 'nhẹ'] aspect_chat_luong"
Bị rách nhẹ,dong_goi,neutral,"['bị', 'rách', 'nhẹ']","['bị', 'rách', 'nhẹ'] aspect_dong_goi"
Bị rách nhẹ,van_chuyen,neutral,"['bị', 'rách', 'nhẹ']","['bị', 'rách', 'nhẹ'] aspect_van_chuyen"
Bị rách nhẹ,gia_ca,neutral,"['bị', 'rách', 'nhẹ']","['bị', 'rách', 'nhẹ'] aspect_gia_ca"
Bị rách nhẹ,overall,negative,"['bị', 'rách', 'nhẹ']","['bị', 'rách', 'nhẹ'] aspect_overall"
"Giao nhanh, thiếu sơn",chat_luong,negative,"['giao', 'nhanh', 'thiếu', 'sơn']","['giao', 'nhanh', 'thiếu', 'sơn'] aspect_chat_luong"
"Giao nhanh, thiếu sơn",dong_goi,positive,"['giao', 'nhanh', 'thiếu', 'sơn']","['giao', 'nhanh', 'thiếu', 'sơn'] aspect_dong_goi"
"Giao nhanh, thiếu sơn",van_chuyen,positive,"['giao', 'nhanh', 'thiếu', 'sơn']","['giao', 'nhanh', 'thiếu', 'sơn'] aspect_van_chuyen"
"Giao nhanh, thiếu sơn",gia_ca,neutral,"['giao', 'nhanh', 'thiếu', 'sơn']","['giao', 'nhanh', 'thiếu', 'sơn'] aspect_gia_ca"
"Giao nhanh, thiếu sơn",overall,negative,"['giao', 'nhanh', 'thiếu', 'sơn']","['giao', 'nhanh', 'thiếu', 'sơn'] aspect_overall"
Màu sai hoàn toàn,chat_luong,negative,"['màu', 'sai', 'hoàn toàn']","['màu', 'sai', 'hoàn toàn'] aspect_chat_luong"
Màu sai hoàn toàn,dong_goi,neutral,"['màu', 'sai', 'hoàn toàn']","['màu', 'sai', 'hoàn toàn'] aspect_dong_goi"
Màu sai hoàn toàn,van_chuyen,neutral,"['màu', 'sai', 'hoàn toàn']","['màu', 'sai', 'hoàn toàn'] aspect_van_chuyen"
Màu sai hoàn toàn,gia_ca,neutral,"['màu', 'sai', 'hoàn toàn']","['màu', 'sai', 'hoàn toàn'] aspect_gia_ca"
Màu sai hoàn toàn,overall,negative,"['màu', 'sai', 'hoàn toàn']","['màu', 'sai', 'hoàn toàn'] aspect_overall"
Màu không đúng mẫu,chat_luong,negative,"['màu', 'không', 'đúng', 'mẫu']","['màu', 'không', 'đúng', 'mẫu'] aspect_chat_luong"
Màu không đúng mẫu,dong_goi,neutral,"['màu', 'không', 'đúng', 'mẫu']","['màu', 'không', 'đúng', 'mẫu'] aspect_dong_goi"
Màu không đúng mẫu,van_chuyen,neutral,"['màu', 'không', 'đúng', 'mẫu']","['màu', 'không', 'đúng', 'mẫu'] aspect_van_chuyen"
Màu không đúng mẫu,gia_ca,neutral,"['màu', 'không', 'đúng', 'mẫu']","['màu', 'không', 'đúng', 'mẫu'] aspect_gia_ca"
Màu không đúng mẫu,overall,negative,"['màu', 'không', 'đúng', 'mẫu']","['màu', 'không', 'đúng', 'mẫu'] aspect_overall"
Đóng gói kỹ nhưng cọ lỗi,chat_luong,negative,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']","['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi'] aspect_chat_luong"
Đóng gói kỹ nhưng cọ lỗi,dong_goi,positive,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']","['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi'] aspect_dong_goi"
Đóng gói kỹ nhưng cọ lỗi,van_chuyen,positive,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']","['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi'] aspect_van_chuyen"
Đóng gói kỹ nhưng cọ lỗi,gia_ca,neutral,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']","['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi'] aspect_gia_ca"
Đóng gói kỹ nhưng cọ lỗi,overall,neutral,"['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi']","['đóng gói', 'kỹ', 'nhưng', 'cọ', 'lỗi'] aspect_overall"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_chat_luong"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_dong_goi"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_van_chuyen"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_gia_ca"
Màu không giống,overall,negative,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_overall"
Màu sai nhưng giá rẻ,chat_luong,negative,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']","['màu', 'sai', 'nhưng', 'giá', 'rẻ'] aspect_chat_luong"
Màu sai nhưng giá rẻ,dong_goi,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']","['màu', 'sai', 'nhưng', 'giá', 'rẻ'] aspect_dong_goi"
Màu sai nhưng giá rẻ,van_chuyen,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']","['màu', 'sai', 'nhưng', 'giá', 'rẻ'] aspect_van_chuyen"
Màu sai nhưng giá rẻ,gia_ca,positive,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']","['màu', 'sai', 'nhưng', 'giá', 'rẻ'] aspect_gia_ca"
Màu sai nhưng giá rẻ,overall,neutral,"['màu', 'sai', 'nhưng', 'giá', 'rẻ']","['màu', 'sai', 'nhưng', 'giá', 'rẻ'] aspect_overall"
Đóng gói tốt nhưng màu ít,chat_luong,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']","['đóng gói', 'tốt', 'nhưng', 'màu', 'ít'] aspect_chat_luong"
Đóng gói tốt nhưng màu ít,dong_goi,positive,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']","['đóng gói', 'tốt', 'nhưng', 'màu', 'ít'] aspect_dong_goi"
Đóng gói tốt nhưng màu ít,van_chuyen,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']","['đóng gói', 'tốt', 'nhưng', 'màu', 'ít'] aspect_van_chuyen"
Đóng gói tốt nhưng màu ít,gia_ca,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']","['đóng gói', 'tốt', 'nhưng', 'màu', 'ít'] aspect_gia_ca"
Đóng gói tốt nhưng màu ít,overall,neutral,"['đóng gói', 'tốt', 'nhưng', 'màu', 'ít']","['đóng gói', 'tốt', 'nhưng', 'màu', 'ít'] aspect_overall"
Giao sai hình,chat_luong,negative,"['giao', 'sai', 'hình']","['giao', 'sai', 'hình'] aspect_chat_luong"
Giao sai hình,dong_goi,neutral,"['giao', 'sai', 'hình']","['giao', 'sai', 'hình'] aspect_dong_goi"
Giao sai hình,van_chuyen,neutral,"['giao', 'sai', 'hình']","['giao', 'sai', 'hình'] aspect_van_chuyen"
Giao sai hình,gia_ca,neutral,"['giao', 'sai', 'hình']","['giao', 'sai', 'hình'] aspect_gia_ca"
Giao sai hình,overall,negative,"['giao', 'sai', 'hình']","['giao', 'sai', 'hình'] aspect_overall"
Màu khác xa,chat_luong,negative,"['màu', 'khác', 'xa']","['màu', 'khác', 'xa'] aspect_chat_luong"
Màu khác xa,dong_goi,neutral,"['màu', 'khác', 'xa']","['màu', 'khác', 'xa'] aspect_dong_goi"
Màu khác xa,van_chuyen,neutral,"['màu', 'khác', 'xa']","['màu', 'khác', 'xa'] aspect_van_chuyen"
Màu khác xa,gia_ca,neutral,"['màu', 'khác', 'xa']","['màu', 'khác', 'xa'] aspect_gia_ca"
Màu khác xa,overall,negative,"['màu', 'khác', 'xa']","['màu', 'khác', 'xa'] aspect_overall"
Màu nhạt,chat_luong,negative,"['màu', 'nhạt']","['màu', 'nhạt'] aspect_chat_luong"
Màu nhạt,dong_goi,neutral,"['màu', 'nhạt']","['màu', 'nhạt'] aspect_dong_goi"
Màu nhạt,van_chuyen,positive,"['màu', 'nhạt']","['màu', 'nhạt'] aspect_van_chuyen"
Màu nhạt,gia_ca,neutral,"['màu', 'nhạt']","['màu', 'nhạt'] aspect_gia_ca"
Màu nhạt,overall,negative,"['màu', 'nhạt']","['màu', 'nhạt'] aspect_overall"
Đẹp nhưng hơi sai,chat_luong,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']","['đẹp', 'nhưng', 'hơi', 'sai'] aspect_chat_luong"
Đẹp nhưng hơi sai,dong_goi,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']","['đẹp', 'nhưng', 'hơi', 'sai'] aspect_dong_goi"
Đẹp nhưng hơi sai,van_chuyen,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']","['đẹp', 'nhưng', 'hơi', 'sai'] aspect_van_chuyen"
Đẹp nhưng hơi sai,gia_ca,neutral,"['đẹp', 'nhưng', 'hơi', 'sai']","['đẹp', 'nhưng', 'hơi', 'sai'] aspect_gia_ca"
Đẹp nhưng hơi sai,overall,positive,"['đẹp', 'nhưng', 'hơi', 'sai']","['đẹp', 'nhưng', 'hơi', 'sai'] aspect_overall"
Shop hỗ trợ tốt,chat_luong,neutral,"['shop', 'hỗ trợ', 'tốt']","['shop', 'hỗ trợ', 'tốt'] aspect_chat_luong"
Shop hỗ trợ tốt,dong_goi,neutral,"['shop', 'hỗ trợ', 'tốt']","['shop', 'hỗ trợ', 'tốt'] aspect_dong_goi"
Shop hỗ trợ tốt,van_chuyen,neutral,"['shop', 'hỗ trợ', 'tốt']","['shop', 'hỗ trợ', 'tốt'] aspect_van_chuyen"
Shop hỗ trợ tốt,gia_ca,neutral,"['shop', 'hỗ trợ', 'tốt']","['shop', 'hỗ trợ', 'tốt'] aspect_gia_ca"
Shop hỗ trợ tốt,overall,positive,"['shop', 'hỗ trợ', 'tốt']","['shop', 'hỗ trợ', 'tốt'] aspect_overall"
Giá ổn nhưng giao sai,chat_luong,negative,"['giá', 'ổn', 'nhưng', 'giao', 'sai']","['giá', 'ổn', 'nhưng', 'giao', 'sai'] aspect_chat_luong"
Giá ổn nhưng giao sai,dong_goi,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']","['giá', 'ổn', 'nhưng', 'giao', 'sai'] aspect_dong_goi"
Giá ổn nhưng giao sai,van_chuyen,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']","['giá', 'ổn', 'nhưng', 'giao', 'sai'] aspect_van_chuyen"
Giá ổn nhưng giao sai,gia_ca,positive,"['giá', 'ổn', 'nhưng', 'giao', 'sai']","['giá', 'ổn', 'nhưng', 'giao', 'sai'] aspect_gia_ca"
Giá ổn nhưng giao sai,overall,neutral,"['giá', 'ổn', 'nhưng', 'giao', 'sai']","['giá', 'ổn', 'nhưng', 'giao', 'sai'] aspect_overall"
Giao nhầm,chat_luong,negative,"['giao', 'nhầm']","['giao', 'nhầm'] aspect_chat_luong"
Giao nhầm,dong_goi,neutral,"['giao', 'nhầm']","['giao', 'nhầm'] aspect_dong_goi"
Giao nhầm,van_chuyen,neutral,"['giao', 'nhầm']","['giao', 'nhầm'] aspect_van_chuyen"
Giao nhầm,gia_ca,neutral,"['giao', 'nhầm']","['giao', 'nhầm'] aspect_gia_ca"
Giao nhầm,overall,negative,"['giao', 'nhầm']","['giao', 'nhầm'] aspect_overall"
Cọ lỗi,chat_luong,negative,"['cọ', 'lỗi']","['cọ', 'lỗi'] aspect_chat_luong"
Cọ lỗi,dong_goi,neutral,"['cọ', 'lỗi']","['cọ', 'lỗi'] aspect_dong_goi"
Cọ lỗi,van_chuyen,neutral,"['cọ', 'lỗi']","['cọ', 'lỗi'] aspect_van_chuyen"
Cọ lỗi,gia_ca,neutral,"['cọ', 'lỗi']","['cọ', 'lỗi'] aspect_gia_ca"
Cọ lỗi,overall,negative,"['cọ', 'lỗi']","['cọ', 'lỗi'] aspect_overall"
Tranh rách + shop không giữ lời,chat_luong,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']","['tranh', 'rách shop', 'không', 'giữ', 'lời'] aspect_chat_luong"
Tranh rách + shop không giữ lời,dong_goi,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']","['tranh', 'rách shop', 'không', 'giữ', 'lời'] aspect_dong_goi"
Tranh rách + shop không giữ lời,van_chuyen,neutral,"['tranh', 'rách shop', 'không', 'giữ', 'lời']","['tranh', 'rách shop', 'không', 'giữ', 'lời'] aspect_van_chuyen"
Tranh rách + shop không giữ lời,gia_ca,neutral,"['tranh', 'rách shop', 'không', 'giữ', 'lời']","['tranh', 'rách shop', 'không', 'giữ', 'lời'] aspect_gia_ca"
Tranh rách + shop không giữ lời,overall,negative,"['tranh', 'rách shop', 'không', 'giữ', 'lời']","['tranh', 'rách shop', 'không', 'giữ', 'lời'] aspect_overall"
Lỗi màu,chat_luong,negative,"['lỗi', 'màu']","['lỗi', 'màu'] aspect_chat_luong"
Lỗi màu,dong_goi,neutral,"['lỗi', 'màu']","['lỗi', 'màu'] aspect_dong_goi"
Lỗi màu,van_chuyen,positive,"['lỗi', 'màu']","['lỗi', 'màu'] aspect_van_chuyen"
Lỗi màu,gia_ca,positive,"['lỗi', 'màu']","['lỗi', 'màu'] aspect_gia_ca"
Lỗi màu,overall,negative,"['lỗi', 'màu']","['lỗi', 'màu'] aspect_overall"
Màu khô,chat_luong,negative,"['màu', 'khô']","['màu', 'khô'] aspect_chat_luong"
Màu khô,dong_goi,neutral,"['màu', 'khô']","['màu', 'khô'] aspect_dong_goi"
Màu khô,van_chuyen,positive,"['màu', 'khô']","['màu', 'khô'] aspect_van_chuyen"
Màu khô,gia_ca,neutral,"['màu', 'khô']","['màu', 'khô'] aspect_gia_ca"
Màu khô,overall,negative,"['màu', 'khô']","['màu', 'khô'] aspect_overall"
Chất lượng kém + giao lâu,chat_luong,negative,"['chất lượng', 'kém', 'giao', 'lâu']","['chất lượng', 'kém', 'giao', 'lâu'] aspect_chat_luong"
Chất lượng kém + giao lâu,dong_goi,neutral,"['chất lượng', 'kém', 'giao', 'lâu']","['chất lượng', 'kém', 'giao', 'lâu'] aspect_dong_goi"
Chất lượng kém + giao lâu,van_chuyen,negative,"['chất lượng', 'kém', 'giao', 'lâu']","['chất lượng', 'kém', 'giao', 'lâu'] aspect_van_chuyen"
Chất lượng kém + giao lâu,gia_ca,neutral,"['chất lượng', 'kém', 'giao', 'lâu']","['chất lượng', 'kém', 'giao', 'lâu'] aspect_gia_ca"
Chất lượng kém + giao lâu,overall,negative,"['chất lượng', 'kém', 'giao', 'lâu']","['chất lượng', 'kém', 'giao', 'lâu'] aspect_overall"
Màu không giống,chat_luong,negative,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_chat_luong"
Màu không giống,dong_goi,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_dong_goi"
Màu không giống,van_chuyen,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_van_chuyen"
Màu không giống,gia_ca,neutral,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_gia_ca"
Màu không giống,overall,negative,"['màu', 'không', 'giống']","['màu', 'không', 'giống'] aspect_overall"
Màu xấu,chat_luong,negative,"['màu', 'xấu']","['màu', 'xấu'] aspect_chat_luong"
Màu xấu,dong_goi,neutral,"['màu', 'xấu']","['màu', 'xấu'] aspect_dong_goi"
Màu xấu,van_chuyen,neutral,"['màu', 'xấu']","['màu', 'xấu'] aspect_van_chuyen"
Màu xấu,gia_ca,neutral,"['màu', 'xấu']","['màu', 'xấu'] aspect_gia_ca"
Màu xấu,overall,negative,"['màu', 'xấu']","['màu', 'xấu'] aspect_overall"
Chất lượng không đồng đều,chat_luong,negative,"['chất lượng', 'không', 'đồng đều']","['chất lượng', 'không', 'đồng đều'] aspect_chat_luong"
Chất lượng không đồng đều,dong_goi,neutral,"['chất lượng', 'không', 'đồng đều']","['chất lượng', 'không', 'đồng đều'] aspect_dong_goi"
Chất lượng không đồng đều,van_chuyen,neutral,"['chất lượng', 'không', 'đồng đều']","['chất lượng', 'không', 'đồng đều'] aspect_van_chuyen"
Chất lượng không đồng đều,gia_ca,neutral,"['chất lượng', 'không', 'đồng đều']","['chất lượng', 'không', 'đồng đều'] aspect_gia_ca"
Chất lượng không đồng đều,overall,negative,"['chất lượng', 'không', 'đồng đều']","['chất lượng', 'không', 'đồng đều'] aspect_overall"
Rách nhẹ,chat_luong,neutral,"['rách', 'nhẹ']","['rách', 'nhẹ'] aspect_chat_luong"
Rách nhẹ,dong_goi,neutral,"['rách', 'nhẹ']","['rách', 'nhẹ'] aspect_dong_goi"
Rách nhẹ,van_chuyen,neutral,"['rách', 'nhẹ']","['rách', 'nhẹ'] aspect_van_chuyen"
Rách nhẹ,gia_ca,neutral,"['rách', 'nhẹ']","['rách', 'nhẹ'] aspect_gia_ca"
Rách nhẹ,overall,positive,"['rách', 'nhẹ']","['rách', 'nhẹ'] aspect_overall"
Lỗi sọc,chat_luong,neutral,"['lỗi', 'sọc']","['lỗi', 'sọc'] aspect_chat_luong"
Lỗi sọc,dong_goi,neutral,"['lỗi', 'sọc']","['lỗi', 'sọc'] aspect_dong_goi"
Lỗi sọc,van_chuyen,neutral,"['lỗi', 'sọc']","['lỗi', 'sọc'] aspect_van_chuyen"
Lỗi sọc,gia_ca,neutral,"['lỗi', 'sọc']","['lỗi', 'sọc'] aspect_gia_ca"
Lỗi sọc,overall,negative,"['lỗi', 'sọc']","['lỗi', 'sọc'] aspect_overall"
Thiếu cọ,chat_luong,negative,"['thiếu', 'cọ']","['thiếu', 'cọ'] aspect_chat_luong"
Thiếu cọ,dong_goi,neutral,"['thiếu', 'cọ']","['thiếu', 'cọ'] aspect_dong_goi"
Thiếu cọ,van_chuyen,neutral,"['thiếu', 'cọ']","['thiếu', 'cọ'] aspect_van_chuyen"
Thiếu cọ,gia_ca,neutral,"['thiếu', 'cọ']","['thiếu', 'cọ'] aspect_gia_ca"
Thiếu cọ,overall,negative,"['thiếu', 'cọ']","['thiếu', 'cọ'] aspect_overall"
Giá rẻ nhưng tệ,chat_luong,negative,"['giá', 'rẻ', 'nhưng', 'tệ']","['giá', 'rẻ', 'nhưng', 'tệ'] aspect_chat_luong"
Giá rẻ nhưng tệ,dong_goi,neutral,"['giá', 'rẻ', 'nhưng', 'tệ']","['giá', 'rẻ', 'nhưng', 'tệ'] aspect_dong_goi"
Giá rẻ nhưng tệ,van_chuyen,neutral,"['giá', 'rẻ', 'nhưng', 'tệ']","['giá', 'rẻ', 'nhưng', 'tệ'] aspect_van_chuyen"
Giá rẻ nhưng tệ,gia_ca,positive,"['giá', 'rẻ', 'nhưng', 'tệ']","['giá', 'rẻ', 'nhưng', 'tệ'] aspect_gia_ca"
Giá rẻ nhưng tệ,overall,negative,"['giá', 'rẻ', 'nhưng', 'tệ']","['giá', 'rẻ', 'nhưng', 'tệ'] aspect_overall"
Khó tô,chat_luong,neutral,"['khó', 'tô']","['khó', 'tô'] aspect_chat_luong"
Khó tô,dong_goi,neutral,"['khó', 'tô']","['khó', 'tô'] aspect_dong_goi"
Khó tô,van_chuyen,neutral,"['khó', 'tô']","['khó', 'tô'] aspect_van_chuyen"
Khó tô,gia_ca,neutral,"['khó', 'tô']","['khó', 'tô'] aspect_gia_ca"
Khó tô,overall,neutral,"['khó', 'tô']","['khó', 'tô'] aspect_overall"
Móc khoá lỗi,chat_luong,negative,"['móc', 'khóa', 'lỗi']","['móc', 'khóa', 'lỗi'] aspect_chat_luong"
Móc khoá lỗi,dong_goi,neutral,"['móc', 'khóa', 'lỗi']","['móc', 'khóa', 'lỗi'] aspect_dong_goi"
Móc khoá lỗi,van_chuyen,neutral,"['móc', 'khóa', 'lỗi']","['móc', 'khóa', 'lỗi'] aspect_van_chuyen"
Móc khoá lỗi,gia_ca,neutral,"['móc', 'khóa', 'lỗi']","['móc', 'khóa', 'lỗi'] aspect_gia_ca"
