comment,chat_luong,dong_goi,van_chuyen,gia_ca
"Màu lỗi nhiều",negative,neutral,neutral,neutral
"Giao nhanh, đóng gói ok",positive,positive,positive,neutral
"Màu mùi hôi, bám kém",negative,neutral,neutral,neutral
"Đẹp, có lỗi nhẹ nhưng CSKH tốt",negative,neutral,neutral,neutral
"Màu không giống, mùi hôi",negative,negative,neutral,neutral
"Tốt so với giá nhưng thiếu đồ",negative,negative,neutral,positive
"Không rõ chất lượng",neutral,neutral,neutral,neutral
"Giao nhanh nhưng màu vón",negative,neutral,positive,neutral
"Giá hợp lý nhưng thiếu phụ kiện",negative,negative,neutral,positive
"Màu nhanh khô",positive,neutral,neutral,neutral
"Màu tối hơn ảnh",negative,negative,neutral,neutral
"Đẹp nhưng cần dung môi",positive,neutral,neutral,neutral
"Màu lệch nhưng có phụ kiện",negative,negative,neutral,neutral
"Sai màu nhưng tạm chấp nhận",negative,negative,neutral,neutral
"Đẹp, giao nhanh nhưng màu sai",negative,negative,positive,neutral
"Gãy khung",negative,neutral,neutral,neutral
"Cọ chưa tốt",negative,neutral,neutral,neutral
"Chất lượng tốt",positive,neutral,neutral,neutral
"Bút cứng",negative,neutral,neutral,neutral
"Tuyệt vời, giá hợp lý",positive,neutral,neutral,positive
"Giao sai thiếu hàng",negative,negative,neutral,neutral
"Màu lem",negative,neutral,neutral,neutral
"Giao sai mẫu",negative,negative,neutral,neutral
"Size sai, hoàn tiền sai, dịch vụ tệ",negative,negative,neutral,neutral
"Không đúng mô tả, chất lượng kém",negative,negative,neutral,neutral
"Ok nhưng lỗi quai",negative,neutral,neutral,neutral
"Thiết kế xấu",negative,neutral,neutral,neutral
"Chất lượng kém, bung chỉ",negative,neutral,neutral,neutral
"Lỗi cổ áo, shop hỗ trợ kém",negative,neutral,neutral,neutral
"Thái độ shop tệ",negative,neutral,neutral,neutral
"Sản phẩm lỗi",negative,neutral,neutral,neutral
"Tư vấn sai size",negative,negative,neutral,neutral
"Áo xấu, lỗi thiết kế",negative,neutral,neutral,neutral
"Form lỗi, chất lượng kém",negative,neutral,neutral,neutral
"Form xấu, dịch vụ kém",negative,neutral,neutral,neutral
"Giao sai size, bẩn",negative,negative,neutral,neutral
"Không giao hàng",negative,neutral,negative,neutral
"Form xấu",negative,neutral,neutral,neutral
"Chất lượng kém",negative,neutral,neutral,neutral
"Thiếu hàng, shop không rep",negative,negative,neutral,neutral
"Vải mỏng, size sai",negative,negative,neutral,neutral
"May ẩu, lỗi vải",negative,neutral,neutral,neutral
"Đẹp nhưng CSKH kém",negative,neutral,neutral,neutral
"Size sai, dịch vụ kém",negative,negative,neutral,neutral
"Giao chậm, thiếu hàng",negative,negative,negative,neutral
"Vải mỏng, mặc xấu",negative,neutral,neutral,neutral
"Giao sai, shop không xử lý",negative,negative,neutral,neutral
"Giao thiếu, không xử lý",negative,negative,neutral,neutral
"Xấu, không đáng tiền",negative,neutral,neutral,negative
"Thiết kế lỗi",negative,neutral,neutral,neutral
"CSKH kém",negative,neutral,neutral,neutral
"Thiếu hàng, không xử lý",negative,negative,neutral,neutral
"Giao chậm, không phản hồi",negative,neutral,negative,neutral
"Không có quà",negative,negative,neutral,neutral
"Lộ mút",negative,neutral,neutral,neutral
"Thiếu hàng",negative,negative,neutral,neutral
"Size sai, form xấu",negative,negative,neutral,neutral
"Không đúng mô tả",negative,negative,neutral,neutral
"Lỗi thiết kế",negative,neutral,neutral,neutral
"Chất lượng kém, đắt",negative,neutral,neutral,negative
"Giao sai size",negative,negative,neutral,neutral
"Vải mỏng",negative,neutral,neutral,neutral
"Tuột quai",negative,neutral,neutral,neutral
"Lỗi dây áo",negative,neutral,neutral,neutral
"Form xấu, vải nóng",negative,neutral,neutral,neutral
"Size sai, shop không hỗ trợ",negative,negative,neutral,neutral
"1 cái ok, 1 cái chật",negative,neutral,neutral,neutral
"Vải không co giãn, lỗi vải",negative,neutral,neutral,neutral
"Size sai, form lỗi",negative,negative,neutral,neutral
"K có sp này. Shop lừa đảo.hạn chế shop này",negative,neutral,neutral,neutral
"Tin tưởng shop mua 2 cái thì 1 cái bị bẩn",negative,negative,neutral,neutral
"Phần mút đậm hơn vải áo nên bị lộ. Ko nên mua",negative,neutral,neutral,neutral
"Màu sắc: vai xau Chất liệu: xau Đúng với mô tả: không giống Chất liệu xấu ,hàng nhận kh giống hình",negative,negative,neutral,neutral
"Bị lsao ý :) áo chất liệu mỏng đến độ thấy cả lớp áo trong mất thảm mĩ vô cùng, quai áo may như tật k giữ cẩn thận là trễ ngay, đưong may xấu, may cẩu thả lệch vải chê vcl nha",negative,neutral,neutral,neutral
"Giao thiếu hàng, đặt 7 cái áo mà giao 6 cái. Shop giải quyết rất lâu...",negative,negative,neutral,neutral
"Mình ko hài lòng về áo... màu trắng bị bẩn... mút ngực mất form...",negative,negative,neutral,neutral
"Chất liệu: vải mỏng, chỉ vải bị bung... chất lượng kém",negative,negative,neutral,neutral
"Sản phẩm: Hàng lỗi hoặc bị hư hỏng, Sản phẩm chất lượng kém",negative,neutral,neutral,neutral
"Có quà đâu mà đính kèm lắm thế nhỉ :))",negative,negative,neutral,neutral
"Mua 3 cái giao 2 cái là sao? Shop trả lời nhé",negative,neutral,neutral,neutral
"Màu sắc: trắng... vải bị ố",negative,negative,neutral,neutral
"Đặt 2 áo size M mà giao 1 M 1 S",negative,negative,neutral,neutral
"Dây áo mặc bị tuột miếng mút mỏng may lỏng",negative,neutral,neutral,neutral
"mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá",neutral,neutral,neutral,neutral
"Ko giống ảnh , áo bị lỗi",negative,negative,neutral,neutral
"Sản phẩm: Sản phẩm không như mô tả Sản phẩm ko giống hình",negative,negative,neutral,neutral
"Chất liệu: ok ... mút ngực quá xấu, lộ",negative,neutral,neutral,neutral
"Sản phẩm: không như mô tả, chất lượng kém",negative,neutral,neutral,neutral
"Mua tất hồng giao trắng",negative,neutral,neutral,neutral
"Áo nhỏ nóng không mát",negative,neutral,neutral,neutral
"Không có đâu :))), Shop gian lận lượt đánh giá",negative,neutral,neutral,neutral
"Form xấu nhưng không đòi hỏi vì giá rẻ",negative,neutral,neutral,positive
"Hình ảnh mang tính chất nhận xu... áo tệ",negative,neutral,neutral,neutral
"Rẻ mà không ok... đệm mút quá chán",negative,neutral,neutral,negative
"Mút ngực mỏng... áo mỏng",negative,neutral,neutral,neutral
"Quà tặng không có như mô tả",negative,negative,neutral,neutral
"Mua 2 áo mà giao có 1 cái",negative,neutral,neutral,neutral
"Dây bị lệch bên to bên nhỏ",negative,neutral,neutral,neutral
"Áo ko giống mô tả, phần mút cứng",negative,negative,neutral,neutral
"Sản phẩm: lỗi... áo bẩn",negative,neutral,neutral,neutral
"không nên mua nha k nên mua quá tệ",negative,negative,neutral,neutral
"Mình nhận có mỗi váy với chun cột tóc thôi",negative,neutral,neutral,neutral
"Đúng với mô tả: không thích bị lợi dụng...",negative,neutral,neutral,neutral
"Chất vải ok.Nhưng giao thiếu... dịch vụ tệ",negative,negative,neutral,neutral
"Sản phẩm: chất lượng kém... áo đỏ lỗi",negative,neutral,neutral,neutral
"Sản phẩm: lỗi... không như mô tả",negative,neutral,neutral,neutral
"Sản phẩm: lỗi... may xấu bung chỉ",negative,neutral,neutral,neutral
"Đúng với mô tả: đúng... dịch vụ rất tệ",negative,neutral,neutral,neutral
"bị bẩn nhìn chất bẩn...",negative,negative,neutral,neutral
"Mua 3 áo nhưng giao có 2c...",negative,neutral,neutral,neutral
"Không ôm sát ngực... tạm ổn",negative,neutral,neutral,neutral
"mua và đã làm rẻ lau ;)))",negative,neutral,neutral,neutral
"kh giao",negative,neutral,negative,neutral
"Chất vải xấu",negative,neutral,neutral,neutral
"chưa nhận nên khbiet",neutral,neutral,neutral,neutral
"chưa nhận hàng",neutral,neutral,negative,neutral
"Ko có nhé",negative,neutral,neutral,neutral
"Lộ mút ngực",negative,neutral,neutral,neutral
"Ko có tặng kèm",negative,negative,neutral,neutral
"0 có",negative,neutral,neutral,neutral
"Thiếu đơn hàng",negative,negative,neutral,neutral
"Shop đâu có tặng",negative,negative,neutral,neutral
"Gửi sai size",negative,negative,neutral,neutral
"Sản phẩm: Sản phẩm không như mô tả Không giống ảnh mô tả",negative,negative,neutral,neutral
"vải quá mỏng",negative,neutral,neutral,neutral
"Chất liệu k co giãn nhiều Mặc nóng bí",negative,neutral,neutral,neutral
"Sản phẩm: Hàng lỗi hoặc bị hư hỏng Áo đen 0 sao áo xám 1 sao ^_^",negative,neutral,neutral,neutral
"Áo mặc mát, form cũng đc",positive,neutral,neutral,neutral
"Ko gửi hàng nên mình ko biết",negative,neutral,neutral,neutral
"Sản phẩm: Sản phẩm chất lượng kém",negative,neutral,neutral,neutral
"Sản phẩm: Sản phẩm không như mô tả",negative,neutral,neutral,neutral
"Đúng với mô tả: đúng ... form khá đẹp",positive,neutral,neutral,neutral
"Áo may kỳ... mút lộ... size không ổn",negative,neutral,neutral,neutral
"Áo đen đẹp... áo xám mút lỗi",negative,neutral,neutral,neutral
"Chất len dày... nhưng lộ mút",negative,neutral,neutral,neutral
"Đóng gói rất đẹp...",positive,positive,neutral,neutral
"Áo đẹp... nhưng seeding quà",positive,neutral,neutral,neutral
"ok",positive,neutral,neutral,neutral
"nội dung lỗi",negative,neutral,neutral,neutral
"mặc đẹp nhưng lộ lót",negative,neutral,neutral,neutral
"ok nhưng không thích seeding",negative,neutral,neutral,neutral
"chất đẹp nhưng mút không bền",negative,neutral,neutral,neutral
"áo đẹp nhưng bung chỉ sau giặt",negative,neutral,neutral,neutral
"2 áo khác size... mút lỗi",negative,neutral,neutral,neutral
"ok nhưng lộ mút",negative,neutral,neutral,neutral
"áo đẹp nhưng lộ viền mút",negative,neutral,neutral,neutral
"đóng gói cẩn thận...",positive,positive,neutral,neutral
"hơi chật",negative,neutral,neutral,neutral
"ok nhưng mút rơi",negative,neutral,neutral,neutral
"vải ok nhưng mút lỗi",negative,neutral,neutral,neutral
"bị bẩn nhưng vẫn cho 5*",negative,negative,neutral,neutral
"mặc đẹp nhưng lộ viền mút",negative,neutral,neutral,neutral
"hơi mỏng lộ mút",negative,neutral,neutral,neutral
"ok nhưng lỗi cổ và quai",negative,neutral,neutral,neutral
"ok nhưng dính bẩn",negative,negative,neutral,neutral
"tạm ổn nhưng may ẩu",negative,neutral,neutral,neutral
"đóng gói ok giao nhanh nhưng vải tệ",negative,negative,positive,neutral
"giống ảnh",positive,positive,neutral,neutral
"rất đẹp nhưng giao sai size",negative,negative,neutral,neutral
"ok nhưng dây dài và giá chưa hợp lý",negative,neutral,neutral,negative
"chật vai",negative,neutral,neutral,neutral
"ổn nên mua",positive,neutral,neutral,neutral
"áo ổn nhưng đóng gói ẩu",negative,negative,neutral,neutral
"giá rẻ nhưng mút cứng",negative,neutral,neutral,positive
"hơi dày đẹp giao nhanh",positive,neutral,positive,neutral
"vải nóng mút lộ",negative,neutral,neutral,neutral
"vải mềm hàng ok",positive,neutral,neutral,neutral
"ổn nhưng giao sai mẫu",negative,negative,neutral,neutral
"đóng gói tốt giao nhanh đẹp",positive,positive,positive,neutral
"vải dày nhưng lộ lót",negative,neutral,neutral,neutral
"áo lỗi chi tiết",negative,neutral,neutral,neutral
"chất đẹp nhưng có vết bẩn",negative,negative,neutral,neutral
"form không giữ được",negative,neutral,neutral,neutral
"thoải mái nhưng mỏng lộ mút",negative,neutral,neutral,neutral
"tạm ổn giá rẻ giao nhanh",neutral,neutral,positive,positive
"dây lỏng nhiều lỗi may",negative,neutral,neutral,neutral
"mút ngực kì",negative,neutral,neutral,neutral
"giao nhanh nhưng bị xước",negative,negative,positive,neutral
"không có nội dung",neutral,neutral,neutral,neutral
"ổn nhưng mút xấu chật nách",negative,neutral,neutral,neutral
"giao nhanh nhưng áo bẩn",negative,neutral,positive,neutral
"đúng mô tả chất tốt giao nhanh",positive,positive,positive,neutral
"đẹp nhưng mút lệch",negative,neutral,neutral,neutral
"form không đẹp mút lỗi",negative,neutral,neutral,neutral
"bị xước nhưng chất ok",negative,negative,neutral,neutral
"rộng nách",negative,neutral,neutral,neutral
"mỏng lộ mút",negative,neutral,neutral,neutral
"ổn nhưng không thích quà",negative,negative,neutral,neutral
"giao nhanh nhưng hơi rộng",negative,neutral,positive,neutral
"áo bẩn",negative,neutral,neutral,neutral
"lộ mút dịch vụ tệ",negative,neutral,neutral,neutral
"mút cứng lộ",negative,neutral,neutral,neutral
"form ok nhưng vải nóng",negative,neutral,neutral,neutral
"size tư vấn sai",negative,neutral,neutral,neutral
"lộ lớp lót",negative,neutral,neutral,neutral
"lộ viền mút",negative,neutral,neutral,neutral
"dây áo lỗi mút lộ",negative,neutral,neutral,neutral
"bung chỉ",negative,neutral,neutral,neutral
"đẹp nhưng không đồng đều",negative,neutral,neutral,neutral
"size không đúng shop không phản hồi",negative,negative,neutral,neutral
"vải nóng",negative,neutral,neutral,neutral
"vải thô",negative,neutral,neutral,neutral
"chưa dùng",neutral,neutral,neutral,neutral
"mỏng size chật",negative,neutral,neutral,neutral
"bị rách nhiều chỉ thừa",negative,negative,neutral,neutral
"không rõ nội dung",neutral,neutral,neutral,neutral
"đẹp nhưng bị rách",negative,negative,neutral,neutral
"size lỗi",negative,neutral,neutral,neutral
"chật size",negative,neutral,neutral,neutral
"lộ mút ngực",negative,neutral,neutral,neutral
"bình thường rộng",neutral,neutral,neutral,neutral
"không co giãn mặc bó",negative,neutral,neutral,neutral
"dáng ok nhưng vải nóng",negative,neutral,neutral,neutral
"áo bẩn form xấu",negative,neutral,neutral,neutral
"mỏng không đều mất thẩm mỹ",negative,neutral,neutral,neutral
"nhiều chỉ thừa mút lỏng",negative,neutral,neutral,neutral
"có vết bẩn nhưng chất ok",negative,negative,neutral,neutral
"mỏng lộ áo trong",negative,neutral,neutral,neutral
"vai trễ khó chịu",negative,neutral,neutral,neutral
"mỏng lộ mút nhiều chỉ thừa",negative,neutral,neutral,neutral
"spam quà tặng ship nhanh",neutral,neutral,positive,neutral
"chất không đồng đều",negative,neutral,neutral,neutral
"cổ áo bị lỗi",negative,neutral,neutral,neutral
"mỏng lộ mút đường may lỗi",negative,neutral,neutral,neutral
"giao sai mẫu",negative,negative,neutral,neutral
"vải mỏng form xấu",negative,neutral,neutral,neutral
"mỏng chờ phản hồi lâu",negative,neutral,neutral,neutral
"bình thường nhưng có vết bẩn",negative,negative,neutral,neutral
"giao sai màu",negative,negative,neutral,neutral
"size không vừa",negative,neutral,neutral,neutral
"vải mỏng xấu",negative,neutral,neutral,neutral
"vải sổ nhanh",negative,neutral,neutral,neutral
"size không đồng đều",negative,neutral,neutral,neutral
"rộng và lộ mút",negative,neutral,neutral,neutral
"lộ mút dây lỏng giá đắt",negative,neutral,neutral,negative
"lộ lót ngực",negative,neutral,neutral,neutral
"áo rộng nóng",negative,neutral,neutral,neutral
"lộ mút",negative,neutral,neutral,neutral
"vải nóng lộ mút",negative,neutral,neutral,neutral
"tay áo rộng dễ tuột",negative,neutral,neutral,neutral
"form xấu lộ mút chật nách",negative,neutral,neutral,neutral
"vải mỏng không ưng",negative,neutral,neutral,neutral
"giao sai size nhiều chỉ thừa",negative,negative,neutral,neutral
"mút không phù hợp form xấu",negative,neutral,neutral,neutral
"mút lỏng dễ rời",negative,neutral,neutral,neutral
"không liên quan",neutral,neutral,neutral,neutral
"form nhỏ mút lỗi giao lâu",negative,neutral,negative,neutral
"có vết bẩn vải xù",negative,negative,neutral,neutral
"may không cẩn thận lệch vai",negative,neutral,neutral,neutral
"chật tay mút lộ",negative,neutral,neutral,neutral
"không co giãn mút nhăn",negative,neutral,neutral,neutral
"size không đúng",negative,negative,neutral,neutral
"mút nhô form xấu",negative,neutral,neutral,neutral
"dây không đều vải nóng",negative,neutral,neutral,neutral
"mua lại nhưng chật",negative,neutral,neutral,neutral
"không có quà tặng",negative,negative,neutral,neutral
"size lỗi mùi khó chịu",negative,neutral,neutral,neutral
"mát nhưng mút dày không tự nhiên",negative,neutral,neutral,neutral
"chất ok nhưng giữ form kém",negative,neutral,neutral,neutral
"vải xấu may thô lộ chỉ",negative,neutral,neutral,neutral
"mỏng lộ mút không giống mô tả",negative,negative,neutral,neutral
"lộ mút thất vọng",negative,neutral,neutral,neutral
"vải nóng không như mong đợi",negative,neutral,neutral,neutral
"form lỗi mút hỏng",negative,neutral,neutral,neutral
"shop không che thông tin",negative,neutral,neutral,neutral
"thiếu quà tặng",negative,negative,neutral,neutral
"không nhận hàng",negative,neutral,negative,neutral
"lộ mút mút lỏng quai dài",negative,neutral,neutral,neutral
"form xấu",negative,neutral,neutral,neutral
"vải bí size không chuẩn",negative,neutral,neutral,neutral
"quai rộng dễ giãn",negative,neutral,neutral,neutral
"mùi khó chịu",negative,neutral,neutral,neutral
"có quà nhưng ít",neutral,negative,neutral,neutral
"nhiều chỉ thừa",negative,neutral,neutral,neutral
"bung chỉ nhiều",negative,neutral,neutral,neutral
"vải cứng mút cao",negative,neutral,neutral,neutral
"bị ra màu",negative,neutral,neutral,neutral
"chất kém",negative,neutral,neutral,neutral
"chật tay",negative,neutral,neutral,neutral
"mút bị lệch",negative,neutral,neutral,neutral
"vải mỏng",negative,neutral,neutral,neutral
"ổn nhưng không co giãn size lệch",negative,neutral,neutral,neutral
"size không chuẩn",negative,neutral,neutral,neutral
"mỏng lộ mút giá hợp lý",negative,neutral,neutral,positive
"chật không được hỗ trợ",negative,neutral,neutral,neutral
"mút lỗi giao nhanh",negative,neutral,positive,neutral
"màu không hợp da đổi phức tạp",negative,neutral,neutral,neutral
"size chật không mặc được",negative,neutral,neutral,neutral
"không đẹp tạm chấp nhận",positive,neutral,neutral,neutral
"mút không giữ dáng",negative,neutral,neutral,neutral
"mút lộ rất kỳ",negative,neutral,neutral,neutral
"mút dày",negative,neutral,neutral,neutral
"dây dài lộ mút",negative,neutral,neutral,neutral
"lộ lót",negative,neutral,neutral,neutral
"mỏng rộng",negative,neutral,neutral,neutral
"size nhỏ",negative,neutral,neutral,neutral
"chất xấu",negative,neutral,neutral,neutral
"giao sai size",negative,negative,neutral,neutral
"lộ mút chật tay",negative,neutral,neutral,neutral
"không có gì đáng giá",negative,neutral,neutral,negative
"form ổn nhưng cổ lỗi",negative,neutral,neutral,neutral
"đẹp nhưng dễ bung chỉ",negative,neutral,neutral,neutral
"nhiều chỉ thừa form rộng",negative,neutral,neutral,neutral
"đúng mô tả giá hợp lý",positive,positive,neutral,positive
