comment,chat_luong,dong_goi,van_chuyen,gia_ca,clean_comment
"Đóng gói tốt, màu lệch",negative,negative,neutral,neutral,đóng gói tốt màu lệch
Tốt,positive,neutral,neutral,neutral,tốt
Giao sai màu,negative,negative,neutral,neutral,giao sai màu
Ok,positive,neutral,neutral,neutral,ok
Màu không đúng,negative,negative,neutral,neutral,màu không đúng
Ổn,positive,neutral,neutral,neutral,ổn
Đẹp nhưng màu khô,negative,neutral,neutral,neutral,đẹp nhưng màu khô
Tranh bị cong,negative,negative,neutral,neutral,tranh bị cong
"Đẹp, giao nhanh",positive,neutral,positive,neutral,đẹp giao nhanh
Đủ đồ,positive,positive,neutral,neutral,đủ đồ
Bình thường,neutral,neutral,neutral,neutral,bình thường
"Đẹp, giá rẻ",positive,neutral,neutral,positive,đẹp giá rẻ
Tốt nhưng thiếu quà,negative,negative,neutral,neutral,tốt nhưng thiếu quà
"Tốt, giao nhanh",positive,neutral,positive,neutral,tốt giao nhanh
"Giao nhanh, đẹp",positive,neutral,positive,neutral,giao nhanh đẹp
Cọ lỏng,negative,neutral,neutral,neutral,cọ lỏng
Thiếu cọ nhưng shop xử lý tốt,negative,negative,neutral,neutral,thiếu cọ nhưng shop xử lý tốt
Bị vỡ do vận chuyển,negative,negative,negative,neutral,bị vỡ do vận chuyển
Khá tốt,positive,neutral,neutral,neutral,khá tốt
Màu đẹp,positive,neutral,neutral,neutral,màu đẹp
Giao sai 1 cái,negative,negative,neutral,neutral,giao sai 1 cái
Giao trễ,neutral,neutral,negative,neutral,giao trễ
Thiếu sơn bóng,negative,negative,neutral,neutral,thiếu sơn bóng
Đóng gói tốt,positive,positive,neutral,neutral,đóng gói tốt
"Giá rẻ, chất lượng thấp",negative,neutral,neutral,positive,giá rẻ chất lượng thấp
Tạm ổn,neutral,neutral,neutral,neutral,tạm ổn
Màu rất tệ,negative,neutral,neutral,neutral,màu rất tệ
"Đẹp, giá tốt",positive,neutral,neutral,positive,đẹp giá tốt
Đẹp,positive,neutral,neutral,neutral,đẹp
Màu đặc khó tô,negative,neutral,neutral,neutral,màu đặc khó tô
"Ổn, ok",positive,neutral,neutral,neutral,ổn ok
Rẻ nhưng có lỗi rách,negative,neutral,neutral,negative,rẻ nhưng có lỗi rách
"Đẹp, màu tốt",positive,neutral,neutral,neutral,đẹp màu tốt
"Giá rẻ, shipper thân thiện",positive,neutral,positive,positive,giá rẻ người giao hàng thân thiện
Đẹp nhưng màu không giống,negative,negative,neutral,neutral,đẹp nhưng màu không giống
"Giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral,giao nhanh đóng gói cẩn thận
Shop không phản hồi,negative,neutral,neutral,neutral,shop không phản hồi
1 bộ lỗi,negative,neutral,neutral,neutral,1 bộ lỗi
Đóng gói kém gây đổ hàng,negative,negative,neutral,neutral,đóng gói kém gây đổ hàng
"Màu không giống, giá rẻ",negative,negative,neutral,positive,màu không giống giá rẻ
Đẹp nhưng đóng gói kém,negative,negative,neutral,neutral,đẹp nhưng đóng gói kém
"Đẹp, giá rẻ, giao nhanh",positive,neutral,positive,positive,đẹp giá rẻ giao nhanh
Thiếu phụ kiện,negative,negative,neutral,neutral,thiếu phụ kiện
Giao đủ,positive,positive,neutral,neutral,giao đủ
1 đơn sai,negative,negative,neutral,neutral,1 đơn sai
"Đóng gói tốt, giao nhanh",positive,positive,positive,neutral,đóng gói tốt giao nhanh
Đóng gói kém,negative,negative,neutral,neutral,đóng gói kém
"Đẹp, đáng mua",positive,neutral,neutral,positive,đẹp đáng mua
Bị rách,negative,negative,neutral,neutral,bị rách
"Màu khô, thiếu đồ",negative,negative,neutral,neutral,màu khô thiếu đồ
"Màu khô, nét mờ",negative,neutral,neutral,neutral,màu khô nét mờ
7/10,positive,neutral,neutral,neutral,7 10
Đẹp nhưng giao lâu,positive,neutral,negative,neutral,đẹp nhưng giao lâu
Màu khác,negative,negative,neutral,neutral,màu khác
"Đẹp, đầy đủ",positive,positive,neutral,neutral,đẹp đầy đủ
"Cọ khó dùng, mùi",negative,neutral,neutral,neutral,cọ khó dùng mùi
Khung lệch,negative,neutral,neutral,neutral,khung lệch
"Ổn, giao nhanh",positive,neutral,positive,neutral,ổn giao nhanh
Màu đặc,negative,neutral,neutral,neutral,màu đặc
Số mờ,negative,neutral,neutral,neutral,số mờ
Đầy đủ,positive,positive,neutral,neutral,đầy đủ
Giao lâu,neutral,neutral,negative,neutral,giao lâu
Đẹp nhưng số nhỏ,negative,neutral,neutral,neutral,đẹp nhưng số nhỏ
Lần đầu tô,neutral,neutral,neutral,neutral,lần đầu tô
"Sản phẩm khá đúng mẫu, shipper thân thiện",positive,positive,positive,neutral,sản phẩm khá đúng mẫu người giao hàng thân thiện
"1 bức lỗi, thiếu màu",negative,negative,neutral,neutral,1 bức lỗi thiếu màu
Có mùi nhưng ổn,negative,neutral,neutral,neutral,có mùi nhưng ổn
"Đẹp, dễ tô",positive,neutral,neutral,neutral,đẹp dễ tô
Bảo quản tốt,positive,neutral,neutral,neutral,bảo quản tốt
Cọ cứng nhưng màu đẹp,negative,neutral,neutral,neutral,cọ cứng nhưng màu đẹp
Màu không giống ảnh,negative,negative,neutral,neutral,màu không giống ảnh
"Màu không giống, giá không hợp lý",negative,negative,neutral,negative,màu không giống giá không hợp lý
Chưa dùng,neutral,neutral,neutral,neutral,chưa dùng
Màu đẹp sau khi khô,positive,neutral,neutral,neutral,màu đẹp sau khi khô
Tốt nhưng bị rách nhẹ,negative,negative,neutral,neutral,tốt nhưng bị rách nhẹ
Đẹp nhưng màu khác,negative,negative,neutral,neutral,đẹp nhưng màu khác
Giao nhanh nhưng thiếu khung,negative,negative,positive,neutral,giao nhanh nhưng thiếu khung
Đẹp nhưng đóng gói ẩu,negative,negative,neutral,neutral,đẹp nhưng đóng gói ẩu
Giao nhanh nhưng thiếu sơn,negative,negative,positive,neutral,giao nhanh nhưng thiếu sơn
Đẹp nhưng đóng gói nát,negative,negative,neutral,neutral,đẹp nhưng đóng gói nát
"Rẻ, đẹp",positive,neutral,neutral,positive,rẻ đẹp
Ghìm bị gỉ,negative,neutral,neutral,neutral,ghìm bị gỉ
"Giao nhanh, ổn",positive,neutral,positive,neutral,giao nhanh ổn
Sai màu nhưng shop hỗ trợ tốt,negative,negative,neutral,neutral,sai màu nhưng shop hỗ trợ tốt
Tuyệt vời,positive,neutral,neutral,neutral,tuyệt vời
Màu bị khô,negative,neutral,neutral,neutral,màu bị khô
Màu không chuẩn,negative,negative,neutral,neutral,màu không chuẩn
"Màu nhạt, bút lỗi",negative,neutral,neutral,neutral,màu nhạt bút lỗi
Đẹp nhưng khó tô,negative,neutral,neutral,neutral,đẹp nhưng khó tô
Cọ bị xù,negative,neutral,neutral,neutral,cọ bị xù
Ngòi bút to khó tô,negative,neutral,neutral,neutral,ngòi bút to khó tô
Giao sai hàng,negative,negative,neutral,neutral,giao sai hàng
Đúng mô tả,positive,positive,neutral,neutral,đúng mô tả
"Ok, xinh",positive,neutral,neutral,neutral,ok xinh
"Màu đặc, cọ lỗi",negative,neutral,neutral,neutral,màu đặc cọ lỗi
Cọ cứng,negative,neutral,neutral,neutral,cọ cứng
"Đóng gói kém, móp",negative,negative,neutral,neutral,đóng gói kém móp
Thiếu khung,negative,negative,neutral,neutral,thiếu khung
Màu không đúng nhưng rẻ,negative,negative,neutral,positive,màu không đúng nhưng rẻ
Màu không đẹp,negative,neutral,neutral,neutral,màu không đẹp
Giao thiếu hàng nhưng shop xử lý tốt,negative,negative,neutral,neutral,giao thiếu hàng nhưng shop xử lý tốt
Màu lệch,negative,negative,neutral,neutral,màu lệch
Mất số,negative,neutral,neutral,neutral,mất số
1 màu sai,negative,negative,neutral,neutral,1 màu sai
"Số nhỏ, màu sai nhưng rẻ",negative,negative,neutral,positive,số nhỏ màu sai nhưng rẻ
"Giao sai màu, shop không phản hồi",negative,negative,neutral,neutral,giao sai màu shop không phản hồi
Nhiễu,neutral,neutral,neutral,neutral,nhiễu
Màu giống nhau,neutral,neutral,neutral,neutral,màu giống nhau
Giao nhầm hàng,negative,negative,neutral,neutral,giao nhầm hàng
Rất tốt,positive,neutral,neutral,neutral,rất tốt
Số khó thấy,negative,neutral,neutral,neutral,số khó thấy
Cọ rụng lông,negative,neutral,neutral,neutral,cọ rụng lông
Sai hàng,negative,negative,neutral,neutral,sai hàng
Giao nhanh,positive,neutral,positive,neutral,giao nhanh
Màu lỗi nhiều,negative,neutral,neutral,neutral,màu lỗi nhiều
"Giao nhanh, đóng gói ok",positive,positive,positive,neutral,giao nhanh đóng gói ok
"Màu mùi hôi, bám kém",negative,neutral,neutral,neutral,màu mùi hôi bám kém
"Đẹp, có lỗi nhẹ nhưng CSKH tốt",negative,neutral,neutral,neutral,đẹp có lỗi nhẹ nhưng cskh tốt
"Màu không giống, mùi hôi",negative,negative,neutral,neutral,màu không giống mùi hôi
Tốt so với giá nhưng thiếu đồ,negative,negative,neutral,positive,tốt so với giá nhưng thiếu đồ
Không rõ chất lượng,neutral,neutral,neutral,neutral,không rõ chất lượng
Giao nhanh nhưng màu vón,negative,neutral,positive,neutral,giao nhanh nhưng màu vón
Giá hợp lý nhưng thiếu phụ kiện,negative,negative,neutral,positive,giá hợp lý nhưng thiếu phụ kiện
Màu nhanh khô,positive,neutral,neutral,neutral,màu nhanh khô
Màu tối hơn ảnh,negative,negative,neutral,neutral,màu tối hơn ảnh
Đẹp nhưng cần dung môi,positive,neutral,neutral,neutral,đẹp nhưng cần dung môi
Màu lệch nhưng có phụ kiện,negative,negative,neutral,neutral,màu lệch nhưng có phụ kiện
Sai màu nhưng tạm chấp nhận,negative,negative,neutral,neutral,sai màu nhưng tạm chấp nhận
"Đẹp, giao nhanh nhưng màu sai",negative,negative,positive,neutral,đẹp giao nhanh nhưng màu sai
Gãy khung,negative,neutral,neutral,neutral,gãy khung
Cọ chưa tốt,negative,neutral,neutral,neutral,cọ chưa tốt
Chất lượng tốt,positive,neutral,neutral,neutral,chất lượng tốt
Bút cứng,negative,neutral,neutral,neutral,bút cứng
"Tuyệt vời, giá hợp lý",positive,neutral,neutral,positive,tuyệt vời giá hợp lý
Giao sai thiếu hàng,negative,negative,neutral,neutral,giao sai thiếu hàng
Màu lem,negative,neutral,neutral,neutral,màu lem
Giao sai mẫu,negative,negative,neutral,neutral,giao sai mẫu
"Size sai, hoàn tiền sai, dịch vụ tệ",negative,negative,neutral,neutral,size sai hoàn tiền sai dịch vụ tệ
"Không đúng mô tả, chất lượng kém",negative,negative,neutral,neutral,không đúng mô tả chất lượng kém
Ok nhưng lỗi quai,negative,neutral,neutral,neutral,ok nhưng lỗi quai
Thiết kế xấu,negative,neutral,neutral,neutral,thiết kế xấu
"Chất lượng kém, bung chỉ",negative,neutral,neutral,neutral,chất lượng kém bung chỉ
"Lỗi cổ áo, shop hỗ trợ kém",negative,neutral,neutral,neutral,lỗi cổ áo shop hỗ trợ kém
Thái độ shop tệ,negative,neutral,neutral,neutral,thái độ shop tệ
Sản phẩm lỗi,negative,neutral,neutral,neutral,sản phẩm lỗi
Tư vấn sai size,negative,negative,neutral,neutral,tư vấn sai size
"Áo xấu, lỗi thiết kế",negative,neutral,neutral,neutral,áo xấu lỗi thiết kế
"Form lỗi, chất lượng kém",negative,neutral,neutral,neutral,form lỗi chất lượng kém
"Form xấu, dịch vụ kém",negative,neutral,neutral,neutral,form xấu dịch vụ kém
"Giao sai size, bẩn",negative,negative,neutral,neutral,giao sai size bẩn
Không giao hàng,negative,neutral,negative,neutral,không giao hàng
Form xấu,negative,neutral,neutral,neutral,form xấu
Chất lượng kém,negative,neutral,neutral,neutral,chất lượng kém
"Thiếu hàng, shop không rep",negative,negative,neutral,neutral,thiếu hàng shop không rep
"Vải mỏng, size sai",negative,negative,neutral,neutral,vải mỏng size sai
"May ẩu, lỗi vải",negative,neutral,neutral,neutral,may ẩu lỗi vải
Đẹp nhưng CSKH kém,negative,neutral,neutral,neutral,đẹp nhưng cskh kém
"Size sai, dịch vụ kém",negative,negative,neutral,neutral,size sai dịch vụ kém
"Giao chậm, thiếu hàng",negative,negative,negative,neutral,giao chậm thiếu hàng
"Vải mỏng, mặc xấu",negative,neutral,neutral,neutral,vải mỏng mặc xấu
"Giao sai, shop không xử lý",negative,negative,neutral,neutral,giao sai shop không xử lý
"Giao thiếu, không xử lý",negative,negative,neutral,neutral,giao thiếu không xử lý
"Xấu, không đáng tiền",negative,neutral,neutral,negative,xấu không đáng tiền
Thiết kế lỗi,negative,neutral,neutral,neutral,thiết kế lỗi
CSKH kém,negative,neutral,neutral,neutral,cskh kém
"Thiếu hàng, không xử lý",negative,negative,neutral,neutral,thiếu hàng không xử lý
"Giao chậm, không phản hồi",negative,neutral,negative,neutral,giao chậm không phản hồi
Không có quà,negative,negative,neutral,neutral,không có quà
Lộ mút,negative,neutral,neutral,neutral,lộ mút
Thiếu hàng,negative,negative,neutral,neutral,thiếu hàng
"Size sai, form xấu",negative,negative,neutral,neutral,size sai form xấu
Không đúng mô tả,negative,negative,neutral,neutral,không đúng mô tả
Lỗi thiết kế,negative,neutral,neutral,neutral,lỗi thiết kế
"Chất lượng kém, đắt",negative,neutral,neutral,negative,chất lượng kém đắt
Giao sai size,negative,negative,neutral,neutral,giao sai size
Vải mỏng,negative,neutral,neutral,neutral,vải mỏng
Tuột quai,negative,neutral,neutral,neutral,tuột quai
Lỗi dây áo,negative,neutral,neutral,neutral,lỗi dây áo
"Form xấu, vải nóng",negative,neutral,neutral,neutral,form xấu vải nóng
"Size sai, shop không hỗ trợ",negative,negative,neutral,neutral,size sai shop không hỗ trợ
"1 cái ok, 1 cái chật",negative,neutral,neutral,neutral,1 cái ok 1 cái chật
"Vải không co giãn, lỗi vải",negative,neutral,neutral,neutral,vải không co giãn lỗi vải
"Size sai, form lỗi",negative,negative,neutral,neutral,size sai form lỗi
K có sp này. Shop lừa đảo.hạn chế shop này,negative,neutral,neutral,neutral,không có sản phẩm này shop lừa đảo hạn chế shop này
Tin tưởng shop mua 2 cái thì 1 cái bị bẩn,negative,negative,neutral,neutral,tin tưởng shop mua 2 cái thì 1 cái bị bẩn
Phần mút đậm hơn vải áo nên bị lộ. Ko nên mua,negative,neutral,neutral,neutral,phần mút đậm hơn vải áo nên bị lộ không nên mua
"Màu sắc: vai xau Chất liệu: xau Đúng với mô tả: không giống Chất liệu xấu ,hàng nhận kh giống hình",negative,negative,neutral,neutral,màu sắc vai xau chất liệu xau đúng với mô tả không giống chất liệu xấu hàng nhận kh giống hình
"Bị lsao ý :) áo chất liệu mỏng đến độ thấy cả lớp áo trong mất thảm mĩ vô cùng, quai áo may như tật k giữ cẩn thận là trễ ngay, đưong may xấu, may cẩu thả lệch vải chê vcl nha",negative,neutral,neutral,neutral,bị lsao ý áo chất liệu mỏng đến độ thấy cả lớp áo trong mất thảm mĩ vô cùng quai áo may như tật không giữ cẩn thận là trễ ngay đưong may xấu may cẩu thả lệch vải chê vcl nha
"Giao thiếu hàng, đặt 7 cái áo mà giao 6 cái. Shop giải quyết rất lâu...",negative,negative,neutral,neutral,giao thiếu hàng đặt 7 cái áo mà giao 6 cái shop giải quyết rất lâu
Mình ko hài lòng về áo... màu trắng bị bẩn... mút ngực mất form...,negative,negative,neutral,neutral,mình không hài lòng về áo màu trắng bị bẩn mút ngực mất form
"Chất liệu: vải mỏng, chỉ vải bị bung... chất lượng kém",negative,negative,neutral,neutral,chất liệu vải mỏng chỉ vải bị bung chất lượng kém
"Sản phẩm: Hàng lỗi hoặc bị hư hỏng, Sản phẩm chất lượng kém",negative,neutral,neutral,neutral,sản phẩm hàng lỗi hoặc bị hư hỏng sản phẩm chất lượng kém
Có quà đâu mà đính kèm lắm thế nhỉ :)),negative,negative,neutral,neutral,có quà đâu mà đính kèm lắm thế nhỉ
Mua 3 cái giao 2 cái là sao? Shop trả lời nhé,negative,neutral,neutral,neutral,mua 3 cái giao 2 cái là sao shop trả lời nhé
Màu sắc: trắng... vải bị ố,negative,negative,neutral,neutral,màu sắc trắng vải bị ố
Đặt 2 áo size M mà giao 1 M 1 S,negative,negative,neutral,neutral,đặt 2 áo size mình mà giao 1 mình 1 s
Dây áo mặc bị tuột miếng mút mỏng may lỏng,negative,neutral,neutral,neutral,dây áo mặc bị tuột miếng mút mỏng may lỏng
mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá,neutral,neutral,neutral,neutral,mình không mua sản phẩm này nhưng lại hiện ra phần đánh giá
"Ko giống ảnh , áo bị lỗi",negative,negative,neutral,neutral,không giống ảnh áo bị lỗi
Sản phẩm: Sản phẩm không như mô tả Sản phẩm ko giống hình,negative,negative,neutral,neutral,sản phẩm sản phẩm không như mô tả sản phẩm không giống hình
"Chất liệu: ok ... mút ngực quá xấu, lộ",negative,neutral,neutral,neutral,chất liệu ok mút ngực quá xấu lộ
"Sản phẩm: không như mô tả, chất lượng kém",negative,neutral,neutral,neutral,sản phẩm không như mô tả chất lượng kém
Mua tất hồng giao trắng,negative,neutral,neutral,neutral,mua tất hồng giao trắng
Áo nhỏ nóng không mát,negative,neutral,neutral,neutral,áo nhỏ nóng không mát
"Không có đâu :))), Shop gian lận lượt đánh giá",negative,neutral,neutral,neutral,không có đâu shop gian lận lượt đánh giá
Form xấu nhưng không đòi hỏi vì giá rẻ,negative,neutral,neutral,positive,form xấu nhưng không đòi hỏi vì giá rẻ
Hình ảnh mang tính chất nhận xu... áo tệ,negative,neutral,neutral,neutral,hình ảnh mang tính chất nhận xu áo tệ
Rẻ mà không ok... đệm mút quá chán,negative,neutral,neutral,negative,rẻ mà không ok đệm mút quá chán
Mút ngực mỏng... áo mỏng,negative,neutral,neutral,neutral,mút ngực mỏng áo mỏng
Quà tặng không có như mô tả,negative,negative,neutral,neutral,quà tặng không có như mô tả
Mua 2 áo mà giao có 1 cái,negative,neutral,neutral,neutral,mua 2 áo mà giao có 1 cái
Dây bị lệch bên to bên nhỏ,negative,neutral,neutral,neutral,dây bị lệch bên to bên nhỏ
"Áo ko giống mô tả, phần mút cứng",negative,negative,neutral,neutral,áo không giống mô tả phần mút cứng
Sản phẩm: lỗi... áo bẩn,negative,neutral,neutral,neutral,sản phẩm lỗi áo bẩn
không nên mua nha k nên mua quá tệ,negative,negative,neutral,neutral,không nên mua nha không nên mua quá tệ
Mình nhận có mỗi váy với chun cột tóc thôi,negative,neutral,neutral,neutral,mình nhận có mỗi váy với chun cột tóc thôi
Đúng với mô tả: không thích bị lợi dụng...,negative,neutral,neutral,neutral,đúng với mô tả không thích bị lợi dụng
Chất vải ok.Nhưng giao thiếu... dịch vụ tệ,negative,negative,neutral,neutral,chất vải ok nhưng giao thiếu dịch vụ tệ
Sản phẩm: chất lượng kém... áo đỏ lỗi,negative,neutral,neutral,neutral,sản phẩm chất lượng kém áo đỏ lỗi
Sản phẩm: lỗi... không như mô tả,negative,neutral,neutral,neutral,sản phẩm lỗi không như mô tả
Sản phẩm: lỗi... may xấu bung chỉ,negative,neutral,neutral,neutral,sản phẩm lỗi may xấu bung chỉ
Đúng với mô tả: đúng... dịch vụ rất tệ,negative,neutral,neutral,neutral,đúng với mô tả đúng dịch vụ rất tệ
bị bẩn nhìn chất bẩn...,negative,negative,neutral,neutral,bị bẩn nhìn chất bẩn
Mua 3 áo nhưng giao có 2c...,negative,neutral,neutral,neutral,mua 3 áo nhưng giao có 2c
Không ôm sát ngực... tạm ổn,negative,neutral,neutral,neutral,không ôm sát ngực tạm ổn
mua và đã làm rẻ lau ;))),negative,neutral,neutral,neutral,mua và đã làm rẻ lau
kh giao,negative,neutral,negative,neutral,kh giao
Chất vải xấu,negative,neutral,neutral,neutral,chất vải xấu
chưa nhận nên khbiet,neutral,neutral,neutral,neutral,chưa nhận nên khbiet
chưa nhận hàng,neutral,neutral,negative,neutral,chưa nhận hàng
Ko có nhé,negative,neutral,neutral,neutral,không có nhé
Lộ mút ngực,negative,neutral,neutral,neutral,lộ mút ngực
Ko có tặng kèm,negative,negative,neutral,neutral,không có tặng kèm
0 có,negative,neutral,neutral,neutral,0 có
Thiếu đơn hàng,negative,negative,neutral,neutral,thiếu đơn hàng
Shop đâu có tặng,negative,negative,neutral,neutral,shop đâu có tặng
Gửi sai size,negative,negative,neutral,neutral,gửi sai size
Sản phẩm: Sản phẩm không như mô tả Không giống ảnh mô tả,negative,negative,neutral,neutral,sản phẩm sản phẩm không như mô tả không giống ảnh mô tả
vải quá mỏng,negative,neutral,neutral,neutral,vải quá mỏng
Chất liệu k co giãn nhiều Mặc nóng bí,negative,neutral,neutral,neutral,chất liệu không co giãn nhiều mặc nóng bí
Sản phẩm: Hàng lỗi hoặc bị hư hỏng Áo đen 0 sao áo xám 1 sao ^_^,negative,neutral,neutral,neutral,sản phẩm hàng lỗi hoặc bị hư hỏng áo đen 0 sao áo xám 1 sao
"Áo mặc mát, form cũng đc",positive,neutral,neutral,neutral,áo mặc mát form cũng được
Ko gửi hàng nên mình ko biết,negative,neutral,neutral,neutral,không gửi hàng nên mình không biết
Sản phẩm: Sản phẩm chất lượng kém,negative,neutral,neutral,neutral,sản phẩm sản phẩm chất lượng kém
Sản phẩm: Sản phẩm không như mô tả,negative,neutral,neutral,neutral,sản phẩm sản phẩm không như mô tả
Đúng với mô tả: đúng ... form khá đẹp,positive,neutral,neutral,neutral,đúng với mô tả đúng form khá đẹp
Áo may kỳ... mút lộ... size không ổn,negative,neutral,neutral,neutral,áo may kỳ mút lộ size không ổn
Áo đen đẹp... áo xám mút lỗi,negative,neutral,neutral,neutral,áo đen đẹp áo xám mút lỗi
Chất len dày... nhưng lộ mút,negative,neutral,neutral,neutral,chất len dày nhưng lộ mút
Đóng gói rất đẹp...,positive,positive,neutral,neutral,đóng gói rất đẹp
Áo đẹp... nhưng seeding quà,positive,neutral,neutral,neutral,áo đẹp nhưng seeding quà
ok,positive,neutral,neutral,neutral,ok
nội dung lỗi,negative,neutral,neutral,neutral,nội dung lỗi
mặc đẹp nhưng lộ lót,negative,neutral,neutral,neutral,mặc đẹp nhưng lộ lót
ok nhưng không thích seeding,negative,neutral,neutral,neutral,ok nhưng không thích seeding
chất đẹp nhưng mút không bền,negative,neutral,neutral,neutral,chất đẹp nhưng mút không bền
áo đẹp nhưng bung chỉ sau giặt,negative,neutral,neutral,neutral,áo đẹp nhưng bung chỉ sau giặt
2 áo khác size... mút lỗi,negative,neutral,neutral,neutral,2 áo khác size mút lỗi
ok nhưng lộ mút,negative,neutral,neutral,neutral,ok nhưng lộ mút
áo đẹp nhưng lộ viền mút,negative,neutral,neutral,neutral,áo đẹp nhưng lộ viền mút
đóng gói cẩn thận...,positive,positive,neutral,neutral,đóng gói cẩn thận
hơi chật,negative,neutral,neutral,neutral,hơi chật
ok nhưng mút rơi,negative,neutral,neutral,neutral,ok nhưng mút rơi
vải ok nhưng mút lỗi,negative,neutral,neutral,neutral,vải ok nhưng mút lỗi
bị bẩn nhưng vẫn cho 5*,negative,negative,neutral,neutral,bị bẩn nhưng vẫn cho 5
mặc đẹp nhưng lộ viền mút,negative,neutral,neutral,neutral,mặc đẹp nhưng lộ viền mút
hơi mỏng lộ mút,negative,neutral,neutral,neutral,hơi mỏng lộ mút
ok nhưng lỗi cổ và quai,negative,neutral,neutral,neutral,ok nhưng lỗi cổ và quai
ok nhưng dính bẩn,negative,negative,neutral,neutral,ok nhưng dính bẩn
