comment,chat_luong,dong_goi,van_chuyen,gia_ca,clean_comment
dày tốt nhưng có vết đọng dơ,negative,neutral,neutral,neutral,dày tốt nhưng có vết đọng dơ
"ship hơi lâu nhưng đóng gói cẩn thận, giá mềm",positive,positive,negative,positive,giao hàng hơi lâu nhưng đóng gói cẩn thận giá mềm
mút cứng lộ,negative,neutral,neutral,neutral,mút cứng lộ
săn được giá rẻ,positive,neutral,neutral,positive,săn được giá rẻ
chất lượng ổn so với giá tiền. khi nhận hơi khác với hình shop có hỗ trợ nên ok,neutral,neutral,neutral,positive,chất lượng ổn so với giá tiền khi nhận hơi khác với hình shop có hỗ trợ nên ok
"shop gói cẩn thận, giao nhanh",positive,positive,positive,neutral,shop gói cẩn thận giao nhanh
Lộ mút ngực,negative,neutral,neutral,neutral,lộ mút ngực
găng dởm xài 2 ngày hở chỉ bong sơn giá 30k không đáng,negative,neutral,neutral,negative,găng dởm xài 2 ngày hở chỉ bong sơn giá 30k không đáng
đồng hồ đẹp hướng dẫn sử dụng cụ thể. đủ chức năng nghe gọi rõ chụp ảnh gọi video định vị tương đối ok,positive,neutral,neutral,neutral,đồng hồ đẹp hướng dẫn sử dụng cụ thể đủ chức năng nghe gọi rõ chụp ảnh gọi video định vị tương đối ok
"Dầu gội gây ngứa, chai chỉ còn hơn nửa",negative,negative,neutral,neutral,dầu gội gây ngứa chai chỉ còn hơn nửa
mua lại nhưng chật,negative,neutral,neutral,neutral,mua lại nhưng chật
bình luận rác rao bán dâu tây không liên quan,neutral,neutral,neutral,neutral,bình luận rác rao bán dâu tây không liên quan
mọi thứ đều ok,negative,neutral,neutral,neutral,mọi thứ đều ok
giao hàng rất nhanh form dáng đẹp còn xài tốt hay không chưa biết,positive,neutral,positive,neutral,giao hàng rất nhanh form dáng đẹp còn xài tốt hay không chưa biết
không như mô tả live ốp dẻo giao cứng mỏng khác loại hoàn toàn,negative,neutral,neutral,neutral,không như mô tả live ốp dẻo giao cứng mỏng khác loại hoàn toàn
Bình thường,neutral,neutral,neutral,neutral,bình thường
đặt 8mm đo 6mm mềm không cứng cáp,positive,neutral,neutral,neutral,đặt 8mm đo 6mm mềm không cứng cáp
sản phẩm đúng mô tả nghe gọi ok tính năng kiểm soát phụ huynh rất tiện nhiều tính năng,positive,neutral,neutral,neutral,sản phẩm đúng mô tả nghe gọi ok tính năng kiểm soát phụ huynh rất tiện nhiều tính năng
ít ngọt dễ uống,positive,neutral,neutral,neutral,ít ngọt dễ uống
chất lượng kém ốp cứng đeo hỏng máy rơi vỡ luôn điện thoại. không nên mua,negative,neutral,neutral,neutral,chất lượng kém ốp cứng đeo hỏng máy rơi vỡ luôn điện thoại không nên mua
Vải mỏng,negative,neutral,neutral,neutral,vải mỏng
thảm móp nhiều chỗ chất dễ bong trầy nhanh xẹp. nhìn giống 6mm hơn 8mm,negative,negative,neutral,neutral,thảm móp nhiều chỗ chất dễ bong trầy nhanh xẹp nhìn giống 6mm hơn 8mm
thùng sữa đúng mô tả,negative,positive,neutral,neutral,thùng sữa đúng mô tả
"chính hãng, sẽ mua lại",positive,neutral,neutral,neutral,chính hãng sẽ mua lại
vali đẹp chắc chắn. thất vọng vì tay cầm ố màu nên trao đổi trước khi mua,negative,neutral,neutral,neutral,vali đẹp chắc chắn thất vọng vì tay cầm ố màu nên trao đổi trước khi mua
chất lượng ok đúng mô tả cảm ứng nhạy con đeo đẹp đang dùng hết chức năng điện thoại. đáng mua,positive,neutral,neutral,neutral,chất lượng ok đúng mô tả cảm ứng nhạy con đeo đẹp đang dùng hết chức năng điện thoại đáng mua
dù mỏng kim loại mỏng dễ đứt. thiết kế tay cầm sai. tiền nào của đó,negative,neutral,neutral,neutral,dù mỏng kim loại mỏng dễ đứt thiết kế tay cầm sai tiền nào của đó
hợp kim chắc chắn để được nhiều cỡ điện thoại. giao hàng nhanh,negative,positive,positive,neutral,hợp kim chắc chắn để được nhiều cỡ điện thoại giao hàng nhanh
không rõ nội dung,neutral,neutral,neutral,neutral,không rõ nội dung
"Quần dễ thương, vải bình thường, ship nhanh",neutral,neutral,positive,neutral,quần dễ thương vải bình thường giao hàng nhanh
sản phẩm tróc sơn nhiều rỉ sét hơi sida mua chơi giải trí tạm không nên đánh nhiều,negative,negative,neutral,neutral,sản phẩm tróc sơn nhiều rỉ sét hơi sida mua chơi giải trí tạm không nên đánh nhiều
dù mở ra gãy luôn,negative,negative,neutral,neutral,dù mở ra gãy luôn
Ko gửi hàng nên mình ko biết,negative,neutral,neutral,neutral,không gửi hàng nên mình không biết
quần áo thoáng mát mềm mại thấm hút tốt,positive,neutral,neutral,neutral,quần áo thoáng mát mềm mại thấm hút tốt
vải thoáng khí có lỗ đỡ hầm thấm hút ok,positive,neutral,neutral,neutral,vải thoáng khí có lỗ đỡ hầm thấm hút ok
1 đơn sai,negative,negative,neutral,neutral,1 đơn sai
đặt màu bạc hộp ghi bạc nhưng giao màu trắng,negative,negative,neutral,neutral,đặt màu bạc hộp ghi bạc nhưng giao màu trắng
thảm dơ khiếu nại hỗ trợ nhanh chóng kịp thời,negative,negative,neutral,neutral,thảm dơ khiếu nại hỗ trợ nhanh chóng kịp thời
viết trơn đẹp. dùng rất tốt,negative,neutral,neutral,neutral,viết trơn đẹp dùng rất tốt
sữa thơm ngọt bé thích giao hàng nhanh,positive,neutral,positive,neutral,sữa thơm ngọt bé thích giao hàng nhanh
chất lượng tốt giống hình. dùng rất tốt,positive,positive,neutral,neutral,chất lượng tốt giống hình dùng rất tốt
giao hàng rất nhanh đóng gói chắc chắn cẩn thận. chắc chắn quay lại mua sắm. sản phẩm đẹp chất lượng vượt mong đợi,positive,positive,positive,neutral,giao hàng rất nhanh đóng gói chắc chắn cẩn thận chắc chắn quay lại mua sắm sản phẩm đẹp chất lượng vượt mong đợi
cài đặt xong xài ok nghe gọi rất rõ hình ảnh rõ định vị từ xa giá hợp lý. độ xài lâu chưa biết do mới mua lần đầu,positive,neutral,neutral,positive,cài đặt xong xài ok nghe gọi rất rõ hình ảnh rõ định vị từ xa giá hợp lý độ xài lâu chưa biết do mới mua lần đầu
Cọ chưa tốt,negative,neutral,neutral,neutral,cọ chưa tốt
đúng hàng hơi bẩn,negative,negative,neutral,neutral,đúng hàng hơi bẩn
không đúng mô tả kính chống nhìn được 2 chiều,negative,neutral,neutral,neutral,không đúng mô tả kính chống nhìn được 2 chiều
rất hài lòng với trải nghiệm mua sắm. nhân viên nhiệt tình giao hàng nhanh. phục vụ tận tâm chu đáo sản phẩm chất lượng tốt đúng hình ảnh,positive,neutral,positive,neutral,rất hài lòng với trải nghiệm mua sắm nhân viên nhiệt tình giao hàng nhanh phục vụ tận tâm chu đáo sản phẩm chất lượng tốt đúng hình ảnh
âm thanh tốt. thiết kế đẹp nhỏ gọn,positive,neutral,neutral,neutral,âm thanh tốt thiết kế đẹp nhỏ gọn
sản phẩm cotton ok rất ưng ý tiện lợi tiết kiệm. giao hàng nhanh dễ tính,positive,neutral,positive,neutral,sản phẩm cotton ok rất ưng ý tiện lợi tiết kiệm giao hàng nhanh dễ tính
giao hàng nhanh sản phẩm chất lượng tốt bé tăng cân,positive,neutral,positive,neutral,giao hàng nhanh sản phẩm chất lượng tốt bé tăng cân
giao nhanh. đúng chất lượng. loa to,positive,neutral,positive,neutral,giao nhanh đúng chất lượng loa to
giao sai hàng nhắn tin hoàn tiền shop không trả lời,negative,neutral,neutral,neutral,giao sai hàng nhắn tin hoàn tiền shop không trả lời
đóng gói cẩn thận mà trầy quá nhiều ngứa mắt. chưa xài chưa biết bền không,negative,positive,neutral,neutral,đóng gói cẩn thận mà trầy quá nhiều ngứa mắt chưa xài chưa biết bền không
chất lượng dở tệ. ốp xấu trầy. dính keo,negative,neutral,neutral,neutral,chất lượng dở tệ ốp xấu trầy dính keo
combo thời trang đẹp quà tặng hấp dẫn,positive,positive,neutral,neutral,combo thời trang đẹp quà tặng hấp dẫn
giao hàng nhanh chóng nhân viên nhiệt tình. sản phẩm chất lượng đóng gói kỹ lưỡng,positive,positive,positive,neutral,giao hàng nhanh chóng nhân viên nhiệt tình sản phẩm chất lượng đóng gói kỹ lưỡng
"Đóng gói kém, móp",negative,negative,neutral,neutral,đóng gói kém móp
giá gần 200k dở hơn loại 99k nhẹ dây không căng,negative,neutral,neutral,negative,giá gần 200k dở hơn loại 99k nhẹ dây không căng
giao hàng hơi lâu nhưng đóng gói cẩn thận,positive,positive,negative,neutral,giao hàng hơi lâu nhưng đóng gói cẩn thận
sản phẩm đúng mô tả chất lượng vượt trội. giao hàng rất nhanh đóng gói chắc chắn cẩn thận. phục vụ tận tâm chu đáo,positive,positive,positive,neutral,sản phẩm đúng mô tả chất lượng vượt trội giao hàng rất nhanh đóng gói chắc chắn cẩn thận phục vụ tận tâm chu đáo
vị ít ngọt dễ uống,positive,neutral,neutral,neutral,vị ít ngọt dễ uống
đừng mua nhà này đồ dán bong ngay ốp cũ rích sử dụng rồi shop không uy tín đừng ham rẻ,negative,neutral,neutral,neutral,đừng mua nhà này đồ dán bong ngay ốp cũ rích sử dụng rồi shop không uy tín đừng ham rẻ
Cọ lỗi,negative,neutral,neutral,neutral,cọ lỗi
1 màu sai,negative,negative,neutral,neutral,1 màu sai
sản phẩm đẹp cầm nặng tay dung lượng 30000. ship nhanh giá rẻ,positive,neutral,positive,positive,sản phẩm đẹp cầm nặng tay dung lượng 30 giao hàng nhanh giá rẻ
hết tốc độ cao là ngừng truy cập không vào được mạng trên 128kb/s như quảng cáo. giao hàng mất 1 tuần,negative,neutral,negative,neutral,hết tốc độ cao là ngừng truy cập không vào được mạng trên 128kb s như quảng cáo giao hàng mất 1 tuần
shop giao đủ và đúng số lượng đã đặt,positive,neutral,neutral,neutral,shop giao đủ và đúng số lượng đã đặt
nhận được hàng đã nứt đôi vì không có hộp đựng tuy bọc rất dày. giá 1k không đòi hỏi,negative,neutral,neutral,positive,nhận được hàng đã nứt đôi vì không có hộp đựng tuy bọc rất dày giá 1k không đòi hỏi
chất lượng tốt sản phẩm dùng tạm thời ít ngày thì được. dùng được hai buổi nó hư rồi,negative,neutral,neutral,neutral,chất lượng tốt sản phẩm dùng tạm thời ít ngày thì được dùng được hai buổi nó hư rồi
sản phẩm bọc rất cẩn thận nhận hàng nhanh không có giấy lau kính chán luôn,neutral,positive,positive,neutral,sản phẩm bọc rất cẩn thận nhận hàng nhanh không có giấy lau kính chán luôn
"sữa béo, ít ngọt, giao nhanh, đóng gói kỹ",positive,positive,positive,neutral,sữa béo ít ngọt giao nhanh đóng gói kỹ
đúng mô tả. màu sắc đẹp,positive,positive,neutral,neutral,đúng mô tả màu sắc đẹp
áo đẹp nhưng bung chỉ sau giặt,negative,neutral,neutral,neutral,áo đẹp nhưng bung chỉ sau giặt
đẹp nhưng mút lệch,negative,neutral,neutral,neutral,đẹp nhưng mút lệch
sữa ngon thơm vị vừa phải mua được giá rẻ,positive,neutral,neutral,positive,sữa ngon thơm vị vừa phải mua được giá rẻ
kim loại rất sắc không mài mòn va vào xước tay mong khắc phục,negative,neutral,neutral,neutral,kim loại rất sắc không mài mòn va vào xước tay mong khắc phục
ok,positive,neutral,neutral,neutral,ok
Ko có tặng kèm,negative,negative,neutral,neutral,không có tặng kèm
giao sai bản nhầm hàng mỏng so với giá. xem đánh giá nhiều người bị giống. giá chênh quá chán,negative,negative,neutral,negative,giao sai bản nhầm hàng mỏng so với giá xem đánh giá nhiều người bị giống giá chênh quá chán
đóng gói cẩn thận giao hàng nhanh sữa ngon,positive,positive,positive,neutral,đóng gói cẩn thận giao hàng nhanh sữa ngon
chất liệu đẹp. chống xước ổn,negative,neutral,neutral,neutral,chất liệu đẹp chống xước ổn
định vị nghe gọi video tuyệt vời đúng mô tả. màn hình cảm ứng mượt như điện thoại con rất thích,positive,neutral,neutral,neutral,định vị nghe gọi video tuyệt vời đúng mô tả màn hình cảm ứng mượt như điện thoại con rất thích
cầm vừa tay đẹp. giá rẻ. độ bền cần thời gian,positive,neutral,neutral,positive,cầm vừa tay đẹp giá rẻ độ bền cần thời gian
"Vỡ nắp tay cầm, dầu bị đổ ra ngoài",negative,negative,neutral,neutral,vỡ nắp tay cầm dầu bị đổ ra ngoài
dùng tốt đỡ máy an toàn. đúng mẫu,positive,positive,neutral,neutral,dùng tốt đỡ máy an toàn đúng mẫu
chất lượng ổn giao nhanh thấm nước tương đối chống trượt không ổn,negative,neutral,positive,neutral,chất lượng ổn giao nhanh thấm nước tương đối chống trượt không ổn
xịn sò kết nối mạnh,negative,neutral,neutral,neutral,xịn sò kết nối mạnh
không giống quảng cáo cứng không dẻo,negative,neutral,neutral,neutral,không giống quảng cáo cứng không dẻo
tệ sai mô tả. keo ít dính không vào cứ bị tuột ra chưa gì đã trầy gần vỡ. mua phí tiền không quay lại,negative,neutral,neutral,negative,tệ sai mô tả keo ít dính không vào cứ bị tuột ra chưa gì đã trầy gần vỡ mua phí tiền không quay lại
chất lượng khỏi bàn. giao nhanh đúng hẹn,positive,neutral,positive,neutral,chất lượng khỏi bàn giao nhanh đúng hẹn
Màu không giống,negative,negative,neutral,neutral,màu không giống
đẹp tay cầm lỏng lẻo bị móp bị trầy. so với giá sale cũng ok,negative,negative,neutral,positive,đẹp tay cầm lỏng lẻo bị móp bị trầy so với giá sale cũng ok
loại thường nhiều đường loại ít đường dễ chấp nhận hơn,positive,neutral,neutral,neutral,loại thường nhiều đường loại ít đường dễ chấp nhận hơn
form xấu lộ mút chật nách,negative,neutral,neutral,neutral,form xấu lộ mút chật nách
giao hàng đầy đủ shop uy tín giao đúng mẫu giao hàng nhanh,positive,neutral,positive,neutral,giao hàng đầy đủ shop uy tín giao đúng mẫu giao hàng nhanh
ok nhưng lộ mút,negative,neutral,neutral,neutral,ok nhưng lộ mút
không dùng được rẻ nhưng mua về vứt đi ngay,negative,neutral,neutral,neutral,không dùng được rẻ nhưng mua về vứt đi ngay
hàng lỗi. không hướng dẫn sử dụng,negative,neutral,neutral,neutral,hàng lỗi không hướng dẫn sử dụng
cục sạc to đẹp nhiều cổng sạc chất lượng tốt cầm hơi nặng tay đúng mô tả,positive,neutral,neutral,neutral,cục sạc to đẹp nhiều cổng sạc chất lượng tốt cầm hơi nặng tay đúng mô tả
"Quần vừa vặn thoải mái, cá mập hơi ố nhẹ",positive,neutral,neutral,neutral,quần vừa vặn thoải mái cá mập hơi ố nhẹ
"sữa thơm ngon, đã mua nhiều lần",positive,neutral,neutral,neutral,sữa thơm ngon đã mua nhiều lần
áo bẩn form xấu,negative,neutral,neutral,neutral,áo bẩn form xấu
nghe gọi định vị đúng mô tả. shop giao hàng nhanh đóng gói chắc chắn. đồng hồ đẹp loa nghe rõ cảm ứng mượt nên mua,positive,positive,positive,neutral,nghe gọi định vị đúng mô tả shop giao hàng nhanh đóng gói chắc chắn đồng hồ đẹp loa nghe rõ cảm ứng mượt nên mua
đóng gói cẩn thận. sim xài rồi bán cho khách làm ăn chán thật,negative,positive,neutral,neutral,đóng gói cẩn thận sim xài rồi bán cho khách làm ăn chán thật
vải chất lượng tốt bé dùng rất tốt,positive,neutral,neutral,neutral,vải chất lượng tốt bé dùng rất tốt
sim siêu chậm không đọc báo được. lừa đảo là sim trả sau shop tự gia hạn từng tháng chứ không phải trả trước,negative,neutral,neutral,neutral,sim siêu chậm không đọc báo được lừa đảo là sim trả sau shop tự gia hạn từng tháng chứ không phải trả trước
săn sale cường lực vỡ nát. ship rất nhanh bọc nhiều lớp nhưng không dùng nổi,negative,positive,positive,positive,săn sale cường lực vỡ nát giao hàng rất nhanh bọc nhiều lớp nhưng không dùng nổi
Mút ngực mỏng... áo mỏng,negative,neutral,neutral,neutral,mút ngực mỏng áo mỏng
định vị chất lượng ổn đúng mô tả sản phẩm chắc chắn. hi vọng dùng mượt và bền,positive,neutral,neutral,neutral,định vị chất lượng ổn đúng mô tả sản phẩm chắc chắn hi vọng dùng mượt và bền
mình mua sim dùng lag xem tiktok zalo nhắn tin đều lag làm theo hướng dẫn vẫn lag. shop chưa đưa ra hướng giải quyết,negative,neutral,neutral,neutral,mình mua sim dùng lag xem tiktok zalo nhắn tin đều lag làm theo hướng dẫn vẫn lag shop chưa đưa ra hướng giải quyết
form nhỏ mút lỗi giao lâu,negative,neutral,negative,neutral,form nhỏ mút lỗi giao lâu
sản phẩm giao đúng màu đúng mẫu gói hàng kĩ. thảm dày dặn nên mua sử dụng,positive,positive,neutral,neutral,sản phẩm giao đúng màu đúng mẫu gói hàng kĩ thảm dày dặn nên mua sử dụng
áo bẩn,negative,neutral,neutral,neutral,áo bẩn
tiền nào của nấy bung tùm lum,negative,neutral,neutral,neutral,tiền nào của nấy bung tùm lum
Bị rách nhẹ,negative,negative,neutral,neutral,bị rách nhẹ
